,mean,std,min,25%,50%,75%,max
linear,1.360183834906347,,0.0537892275789167,0.491934955049339,0.9838699101000223,1.925207147742153,4.608291170400118
poly2,1.427327146824537,,0.0154185194017591,0.4583939368365757,1.0114409003301754,2.180166277725094,4.826639481506343
poly3,1.4917977691292625,,0.0127504954681568,0.49193495599923187,1.0509519659413367,2.1242645793948705,5.38400213520726
exp,1.4812163876304054,,0.0141102670453633,0.34066791789104695,0.8541363127897946,1.6076480410890077,7.6604898763838865
log,1.3397564569446734,,0.0894427190999102,0.45839393538120643,0.8497058314499204,1.8335757415498022,5.690610556836602
power,4.976523950465135,,0.0102150138252489,0.4811038293001054,1.0782612819127586,2.4634823406997866,72.89290047238387
mult,0.9668281895763073,,0.007985957062499,0.2952373202583693,0.641530148437063,1.3462829229677415,3.799093176471582
hybrid_mult,1.013796577421344,,0.0038413933572771,0.3789030246656695,0.783656818565835,1.475786803138406,3.848615348797899
am,2.8332440159727077,,0.2886751336556871,1.1547005388266127,1.928995215217489,3.9035296955585386,13.16358615328051
gm,2.340608249697429,,0.2062377627610923,0.7291972936760385,1.4238669927384364,3.8200002162557922,10.09424657417046
hm,2.04473061951726,,0.1930708945250937,0.6614654920242288,1.0815551661433493,3.241613852178866,8.190924103793234
