,mean,std,min,25%,50%,75%,max
linear,1.9719443625864388,,0.2258317958127242,0.6040291159427469,1.7809917304726763,2.735497544478572,6.105310915454125
poly2,2.0565171459167346,,0.2258317976828172,0.6007582557866653,1.7810206353171254,2.735496911630177,6.959262706090882
poly3,2.1072952278959525,,0.2258317947543903,0.6060534949848992,1.8542950230377937,2.73549811415866,7.42933393229429
exp,2.2324155202495155,,0.2258317893227704,0.5724923480132996,1.6393472462948604,2.7191835752639157,10.276379667225354
log,1.904181506407029,,0.2258317957974885,0.5807027298440579,1.7809917305387328,2.7191835753067557,5.616480590891693
power,2.0312044321881215,,0.2258317958121271,0.6173264063981747,1.9005665307956292,2.856363758975315,6.887023775379339
mult,1.8559660627179846,,0.1955123130437608,0.5962854712944923,1.7272722274552927,2.6501828535235457,5.789804232881315
hybrid_mult,1.9069213029475283,,0.2258317958127242,0.6174267268927616,1.7809917305317595,2.73549754447858,5.552482680309625
am,2.1327203397359877,,0.2909036648718482,0.7448980001977857,1.9773670092868816,3.528486135652085,5.868336778920061
gm,2.084773765643662,,0.2366950405848485,0.6246908895322487,2.00651753943609,3.4994693209638648,5.813463549277144
hm,2.084854451378657,,0.2322929670819445,0.5949893730238559,2.0766212576165635,3.3736568407364826,5.760257754983624
