,mean,std,min,25%,50%,75%,max
linear,11.07230408105586,,9.748501869850145,9.7510686106089,10.126222637255184,11.350541527543944,14.385185760021123
poly2,10.456240354856856,,9.16071536827191,9.402095157030685,9.632322845870052,10.404990450937756,13.681077952173888
poly3,10.21129671694654,,9.154859937422822,9.351613774667648,9.35202145391476,10.16635722861427,13.031631190113208
exp,10.579223177210649,,9.432431298154118,9.550868350605278,9.703237366541437,10.527890896503392,13.68168797424902
log,11.481038976764458,,10.01917856472199,10.079294678158268,10.651330306431456,11.85481355362366,14.80057778088691
power,10.768105348243324,,9.64486949758376,9.676136949654984,9.755277771704916,10.762443960465884,14.001798561807076
mult,10.768105348243324,,9.64486949758376,9.676136949654984,9.755277771704916,10.762443960465884,14.001798561807076
hybrid_mult,12.482451845989658,,10.792808249741697,11.125456256002836,11.73251437022175,12.807431657197478,15.95404869678453
am,11.07230408105586,,9.748501869850145,9.7510686106089,10.126222637255184,11.350541527543944,14.385185760021123
gm,11.072304080872069,,9.748501869723368,9.751068610679486,10.126222633402389,11.350541528879042,14.385185761676064
hm,11.072304077999396,,9.74850187012737,9.751068610343292,10.126222624187887,11.350541524450572,14.385185760887866
