train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
,0,,gov,1,0.3759167361,en,ka,flores,2.2,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,1,0.531126983,en,ka,bible,0.3,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,1,0.1938368776,en,ka,gov,12.0,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,1,0.3801471754,en,gu,flores,7.8,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,gov,1,0.533194274,en,gu,bible,2.3,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,gov,1,0.2151348168,en,gu,gov,22.6,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,gov,1,0.3830502287,en,hi,flores,6.6,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,gov,1,0.5297566363,en,hi,bible,1.0,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,gov,1,0.1941324151,en,hi,gov,19.7,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,gov,1,0.4495009186,en,si,flores,3.8,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,gov,1,0.6044458611,en,si,bible,0.2,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,gov,1,0.1709200509,en,si,gov,21.7,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,gov,1,0.4427872698,en,ta,flores,2.6,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,gov,1,0.5974305094,en,ta,bible,0.3,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,gov,1,0.1709200509,en,ta,gov,19.7,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,gov,10,0.3383509698,en,ka,flores,11.8,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,10,0.5164396023,en,ka,bible,1.5,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,10,0.1463126272,en,ka,gov,30.7,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,gov,10,0.3389213611,en,gu,flores,16.6,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,gov,10,0.5207610711,en,gu,bible,4.0,0.3,0.9,0.68,0.5687,0.4753,0.6
