model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,True,False,1.1575064073040793e-13,1.4666945399975378e-14,5.728578676879117e-15,1.9860273225978185e-14,7.505016413827198e-13,4.766465574234764e-15,9.79415571016078e-15,2.7764979814155484e-12,4.4938668397781774e-15,1.773920594331018e-09,2.7464266301915186e-10,4.841607173245672e-09,0.4045181602352753,5.436558933004744,0.2325552492090715,0.6049154961709567,1.6959102163299682,0.2923084492549765,3.36114515384158e-13,8.556067554929071e-15,5.214071156834649e-14
poly2,True,False,1.2312967010363966e-09,2.099340371140149e-09,7.290706976585917e-10,1.914524079605489e-09,1.9036592702192515e-09,1.5505857017609395e-09,2.9079281384635198e-09,8.65392197012316e-10,7.911120406306759e-13,1.3755157436693888e-09,2.1526584956853982e-10,4.49758099823736e-09,0.57329415724145,1.0931825250265217,0.3214303927905995,0.6432159051631845,0.444938065133903,0.3548721081202429,2.0921250244895758e-10,1.4936507642491115e-10,2.900666167104694e-10
poly3,True,True,3.94814961076317e-09,4.073828162969357e-10,2.345878635071511e-09,1.0538752514784505e-13,2.8561544063184e-09,3.4727504312367517e-09,7.03206914103553e-10,1.941487661950296e-09,2.4212317493490035e-09,1.2602405977313279e-09,7.63647563158053e-10,1.3825455896695264e-08,0.0842882592838419,0.9316827146950856,0.0756170686520012,0.9327408162477993,0.2811388573368831,0.2008040191132773,5.987595408609589e-10,2.218347760687795e-09,7.77015825070752e-09
exp,True,False,2.6046504151038584e-15,1.916903821138477e-15,5.997670987815032e-15,8.062390376942274e-15,4.783244865333381e-15,3.552713678800501e-15,1.6982565970688938e-14,1.756820506391364e-15,4.4938668397781774e-15,5.5187860950499656e-08,6.166640458817344e-12,4.76586497938724e-11,0.3479699184986662,1.5185587613029954,0.3049571194547807,0.7009582108848298,0.2232708290795717,0.5174605616000901,1.9166449907032724e-14,6.198441862910725e-14,2.9745607783971395e-14
log,True,False,4.0164916919831525e-15,4.176268858247851e-16,2.7519201823675253e-15,2.383232787117382e-15,1.9440001990932024e-15,1.0149823808058069e-13,2.7519201823675253e-15,4.160004339935951e-15,7.969489895918943e-14,9.370728733737572e-10,1.443579228605551e-09,8.587742001275737e-09,0.9331550491825902,2.891042069464126,0.2190730389827497,0.3800392948237698,1.169385118322462,1.506615191908897,2.1111760027289807e-15,1.8866214258184404e-14,6.897693335176789e-16
power,True,False,0.4112559017114606,0.052085399339065,1.3875313963654128,1.1234667099445444e-15,4.915166856007381e-16,1.6935554005323885,2.8642893384395585e-15,0.0833737292859521,2.21812501412155,2.0950187150354865e-08,1.1824029413773439e-10,1.3401560801012784,0.1997760152448731,2.597307144074457,0.0579836603657151,0.0279783027706367,2.7848269587944445,0.0759637990227672,0.0313324797285808,2.243441485858954,0.0250638000805203
mult,True,False,9.31529385335274e-16,6.066990448082875e-16,6.787449953031484e-15,2.5121479338940407e-15,4.989831893063952e-16,9.532931148469528e-15,2.383232787117382e-15,8.067281120720504e-16,7.105427357601002e-15,5.5370157970869274e-09,5.351062974615792e-10,4.726891032820675e-08,0.0085746658948169,1.127774205063943,0.0185183834597513,0.2949974447043119,1.9770953139616845,0.2139501410544108,4.864753555590494e-16,2.43043009738913e-14,1.0010247573646671e-14
hybrid_mult,True,False,1.0509068785146553e-15,2.289725645532388e-15,2.2581401398825143e-14,3.978404856516539e-14,9.792645392892016e-16,1.2409095402129096e-14,4.8322130328186015e-15,9.262214823830476e-16,7.349911209636135e-14,1.786360687199433e-08,2.434518427968879e-09,2.1370693914751843e-08,0.0626775477156907,3.72332517195191,0.0846796822188234,0.1056945040860296,5.233100490881794,0.1333503007073857,5.2545343925732775e-16,1.0539051923921736e-14,8.322971118520124e-16
am,False,False,2.065861207288175,0.7826737974914604,3.5299101966168744,2.608102072815918,1.0928595927906268,3.30833894272618,3.0565892676520376,1.2896099627130635,3.99518142603322,0.7422272687406981,0.3370526318130707,4.918977105405896,0.6351986438595011,2.9015650701130964,0.4140039282126839,1.056831131007404,3.473899726656166,0.779725196312259,0.8297601082904963,3.675515232454857,0.7601396711378384
gm,False,False,2.09243493643573,0.781762962102282,3.462509542409701,2.5688373456974958,1.0933664628823223,3.2700310306232288,3.008563835841855,1.292132865197416,3.967875284841321,0.8047079430187204,0.3521540905121696,4.966116885941696,0.6465988729374372,2.9945769924722403,0.4209109676060054,1.06645230769542,3.5492088997841384,0.7879253611230054,0.8270376450299752,3.643036644869717,0.7592359047551169
hm,False,False,2.0545356955449696,0.7656359749399775,3.48539224714377,2.359775345442016,1.0475196673182467,3.2826706807614325,2.774060479192023,1.2499131278865767,3.9940502187397486,0.902334439641006,0.3756206400273335,5.0358562648355365,0.6270506405650366,3.2625573889127275,0.3998522957162485,1.017139401669893,3.871913937032371,0.74426756994952,0.8051904101734572,3.607954362453856,0.7366379112056519
