model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,True,False,0.9033271832508906,0.25298221281347033,3.501142670597567,2.6883080180663925,0.7341661937191132,3.4656889646937463,2.942278029011044,0.7489993324429655,4.033236913448033,4.042151143399221,0.9456416920765995,5.751186566437139,0.25884358211089487,2.024845673131663,0.18973665961010275,0.26832815729997145,2.324435415321317,0.319374388453426,0.29832867780352296,2.453976365004325,0.2983286778035248
poly2,True,False,0.9033339732792025,0.25298221281347105,3.501157746908457,2.6883088060394194,0.734167118966729,3.4656886787340837,2.942280815757941,0.7490001518324991,4.0332358903086,4.436267555795063,1.0125346132812143,6.2322501233649605,0.2588435770938751,2.024844862765776,0.1897366596101198,0.26832763813642396,2.3244373686796953,0.3193743829336825,0.29832852682813005,2.4539783905132584,0.2983289308910843
poly3,True,False,0.9033272325925832,0.2529822128134863,3.501142829535669,2.688276570674712,0.7341661847948597,3.465699618202439,2.942278816612442,0.748999333772841,4.033254233104909,4.654538359606454,1.0473986259097545,6.851876165076718,0.2588431771828423,2.024845673255316,0.18973665961010475,0.26832810935488044,2.3244886758732752,0.3193744410178778,0.29832976867541966,2.453975585218781,0.29832844185818075
exp,True,False,1.0821225254674531,0.2725323208394354,2.8800166704206895,2.68830801806633,0.7341662680620826,3.465688964693783,2.94227802901087,0.7489993829207244,4.033236913753341,4.927114363236694,0.9236267225429579,5.60280729541983,0.24267413901263918,2.0248456727936825,0.19820266971137815,0.26832815729948184,2.3244354154015068,0.3204014791861406,0.29832867772042165,2.4539763644351114,0.2983286787401572
log,True,False,0.9033271832508971,0.25298221281347033,3.501142666065483,2.688308018066361,0.7341661937330487,3.4656889639663864,2.94227802901097,0.7489993324664986,4.033236909932869,3.6112793191142645,0.8882707089906258,5.276593090364863,0.2588435821108473,2.0248456726038615,0.18973665961010275,0.2683281573039501,2.3244354153213207,0.31937438845349037,0.2983286778075381,2.4539763636295553,0.29832867780476097
power,True,False,0.9033271832508972,0.25298221281347033,3.5011426706148367,2.6883080180663836,0.734166193719106,3.4658689609802176,2.942278029010799,0.7489993324429568,4.037189683273617,3.7121335342762056,0.8619466946183578,6.651745633158436,0.2588435821009475,2.235721058527891,0.18973665961010275,0.2683281572993411,2.781465560346818,0.31937438845620103,0.29832867780352523,2.974696129926181,0.2983286778035255
mult,True,True,0.9033271832508971,0.25298221281347033,3.501142670614838,2.688308017885266,0.7341661861380182,3.4656889647061986,2.94227802901087,0.7489993324429606,4.033236913448056,5.178734605806205,0.9118639856185352,5.2325858500351305,0.25884358211089575,2.0248456731319253,0.18973665961010275,0.26832815729997456,2.3244354153226823,0.31937438845342625,0.2983286778181382,2.4539763650503414,0.298328677803526
hybrid_mult,True,False,0.9033271832508964,0.25298221281347033,3.5011426706146964,2.68830802309572,0.7341661937191061,3.4656889594754268,2.942278029011257,0.7489993324254861,4.033236913448094,3.1536032153521814,1.0312972474325832,5.253719820228865,0.2588435821088879,2.024845673131081,0.18973665961010275,0.2683281572999762,2.324435415341432,0.3193743884906443,0.29832867780359695,2.4539763657571987,0.29832867780352595
am,True,False,0.899999965880646,0.43185869362509827,3.148363998433853,2.529505831116936,0.7661577846887421,3.6782064423440715,2.7827234088022927,0.8315638813084004,4.345191998290024,3.856214192776941,0.9356281320067664,5.568538766819738,0.2747686857470208,2.8053565266766425,0.19137640321106597,0.4080429442113295,3.549883736785585,0.3442382955170709,0.4854123736051842,3.7334227099784454,0.39370066141765947
gm,True,False,1.0907225077303677,0.29046321339606596,3.0774305132008726,2.463411487298721,0.7136124980298693,3.7364146841476544,2.669858080885762,0.7425884043350123,4.432012964343337,3.7997226468889993,0.9287216155071346,5.49503442399494,0.25040841756918003,3.0058779456298823,0.20336082553668747,0.2792481999963097,3.5863597551239375,0.32166208267438057,0.33968751258017066,3.7018167419022734,0.2985081403974947
hm,True,False,1.3375827863701872,0.2530363674063258,3.1898002215627144,2.550318346053104,0.7468530694646622,3.755543649157454,2.758133436856248,0.7702021951440546,4.457947506928766,3.7642359425785545,0.9235745330451008,5.44301520771474,0.2809257202972962,3.065973255696152,0.23322896308816807,0.2694365942145473,3.5025341251891113,0.3571314279021742,0.29377402851194806,3.572317946541399,0.307423125538035
