model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,True,False,1.9267375895213519,0.49024718029314857,3.7131078437824776,2.0701316004173287,0.6689885815937471,3.808427088648508,2.4224069742201313,0.7522053587061428,4.710801586849249,5.234312062789193,3.5986530331341466,17.849260511835105,0.39959464401523886,3.2085338210234853,0.2751252730260572,0.5746341008280211,3.118587517375021,0.44853181253088986,0.5003023329607438,2.9028429593180944,0.5360073660155042
poly2,True,False,3.1846064618888454,3.8290581444873832,3.0932437609538805,2.45506575640899,3.8555917550094527,1.1667965698856373,2.098281761889303,3.819971130997391,0.8864802672862646,10.092513589494985,3.8939099470923932,20.63123435483787,4.133101255083345,3.04179186935611,2.6718156935815203,3.894659422092279,2.403982007275711,4.050781254046011,2.5524282730328913,2.6697886464185934,3.7991420433442524
poly3,True,False,6.087045064139847,3.0377754280928535,5.341581305601173,5.44424354879867,6.702004641826513,3.8877873778374314,5.058571310624941,6.861748004788599,2.947228201941538,9.941072068448335,3.6582514261810104,24.222712356500992,5.984403787671062,5.635885812533715,3.90512772340967,2.964247913429134,5.171493860213457,4.709120474212767,1.9435569765318848,5.4919060357686345,4.959708121730707
exp,True,False,1.842337610754996,0.5233427695532448,4.119311123751417,2.610596066098659,0.9881141925952812,4.058925142112051,2.9371323431052234,1.0505746560469598,5.021813093729928,5.04033982614283,0.8487283544249037,45.14979383807056,0.3637197725562545,3.3078406744254725,0.28886898824530943,0.4648898231880957,3.0634139408467336,0.4839509816436659,0.4103050004814649,2.812446189777578,0.5323045404384533
log,True,False,1.861004732179058,0.4514451582514704,3.6057095223251268,1.9820664853521266,0.6296343327074138,3.761050387954632,2.3132190562583177,0.7052781479806975,4.6559813369509175,6.863501123098774,1.9439501484955575,19.712832387974707,0.38159485739576154,3.204005256024156,0.26472873261373436,0.5351908848410888,3.154079929563534,0.42536033415152735,0.4591640365500665,2.9508840469909945,0.500797430557426
power,True,True,2.6772053576329875,0.9449010039177389,3.3860371072927102,1.9605292372861118,1.5579009760577556,3.50685130198168,2.323633020451032,1.7223300850392393,4.246609244008482,3.2168156865345647,0.713884124094656,13.960965838985711,0.6237470726984536,3.039765741823833,0.46173509301073223,1.0062424732310367,3.380940226912056,0.8319783542372594,1.0109756585122474,3.480567981008932,0.9813008533627654
mult,True,False,1.5644581795963266,0.1425387675281264,3.9551156717379925,1.604314709478648,0.29823545686319836,3.9941211131323864,1.8852952756525665,0.39241257154831904,4.546297693812631,4.545008484974894,0.705940340968169,51.070459065666554,0.3014931563188317,3.299716677563551,0.18882524653732885,0.3818866171010129,3.107520029345089,0.2773829458652115,0.29727055671886543,2.8703591881945982,0.2869639263680791
hybrid_mult,True,False,1.733276563430062,0.3946077959974393,3.2125885729635204,1.7678082969446254,0.5560255047992846,3.73876843537914,2.0429197300319033,0.6177491235662719,4.446930457015808,3.7133145149448987,1.342712160810029,190.52519470522162,0.3599623329270913,3.0584175116649637,0.25229422646602156,0.4766184217348667,3.534799635620203,0.3912116900525046,0.39533597581038743,3.683786176049546,0.415344049065152
am,True,False,2.7065574972513193,0.951208202777796,3.4328759784195646,4.271923811012086,1.530644691790758,3.7207043247547267,4.895961891785726,1.7063239352405868,4.4894185543139775,5.600181570002879,1.8095724071576227,16.824799171655492,0.6349501948162951,3.110279432003801,0.45982136549274827,1.0282903573627356,3.564841374130849,0.8316061356696186,1.033766196462499,3.717079633101609,0.9889110724985224
gm,True,False,2.7048681451815444,0.9509500309798261,3.4330685578589613,4.257621625765058,1.5272987349595701,3.71895752604759,4.880666336940403,1.703524982351396,4.4905156456783795,5.349917113600834,1.7386018956001112,16.346682024700552,0.634852603386583,3.113784923174089,0.45928277524535965,1.0276334722269131,3.5702003935692117,0.8305317128668104,1.0330837849196428,3.7202805006458752,0.9880396556875598
hm,True,False,2.703056809156878,0.9506150578257029,3.433290992389515,4.243581381448983,1.524006229127899,3.717467914081883,4.866017702955201,1.7007764734005255,4.491634642158303,5.129190221384077,1.676007705600706,15.924994902061032,0.6347382049201729,3.1170789244673616,0.45865022086155693,1.026932210629054,3.5751265863381887,0.8294999327111405,1.0323924994426927,3.7231730356667803,0.9871404740945398
