model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,False,False,2.2422617596060244,0.7426260113767238,3.157461004083057,3.534878984873275,1.2801772695702174,3.700390919217999,4.015486245837087,1.422039173289612,4.419391886801471,2.049498700219437,0.6363684906719401,5.441471043602848,0.5789444100676229,2.8031998608900803,0.4296031540885874,0.9415499949246392,3.2772408880803314,0.7763180075307782,0.811520469240517,3.664945793203093,0.7805003505499938
poly2,True,False,2.1990598302996416,0.695417075272536,2.826941622582957,3.2389644158950013,1.1433135294144297,0.990764425968044,3.69943124637348,1.2702764644336504,0.93803215956098,2.1786758954561925e-13,2.321755697529404e-15,0.3649102911195601,0.5628893785820909,2.050841461199614,0.4137541114380544,0.91611920114982,1.6922918537915508,0.7431220084170548,0.7506057290976756,1.943098396993889,0.7361569523847297
poly3,True,True,2.1868971085467046,0.6897644704214834,2.799122494506198,3.235953006342901,1.1365576155642134,0.9617697020991988,3.6968851159257703,1.2629536593715358,0.8748190095630223,2.29161507168706e-13,1.2397435206548188e-14,4.0642827512641267e-11,0.553507624410008,2.023799157022371,0.4050679867929932,0.91255501308218,1.6683034667144987,0.7365170000578939,0.7464792470501185,1.9174577969716615,0.729960845344861
exp,False,False,2.2447998080619844,0.7374694366126148,3.1745344336475165,3.538732598960526,1.2839165873711424,3.70235685421026,4.02077023442013,1.4240083718259182,4.420717054608972,1.9134478300125783,0.6046953626486141,5.426968263633119,0.5807838900503604,2.8034086283253075,0.4324772640902981,0.9465139216920192,3.281296278422231,0.7814117313777589,0.8109482559044716,3.667552690344017,0.780775039404039
log,False,False,2.243531405530522,0.7471116045262974,3.116308858633712,3.520363930662617,1.281002037419008,3.667662458805261,4.0019628025938365,1.4258482274926898,4.388056167952088,1.8810996664552972,0.6001696905959731,5.439414037454581,0.5801877997611452,2.8088309197906502,0.4295703274578968,0.942585072877738,3.3086068938957243,0.7767834096965957,0.8159807674240652,3.69128889568634,0.7830701255336783
power,False,False,2.2467677663578134,0.7415709901373948,3.135203860777441,3.523567244713232,1.2855623617487748,3.6711524204801886,4.0069382059577965,1.428726065220129,4.390870289431087,1.698568986868598,0.5371738780242408,5.421213384722373,0.582805488547089,2.808783943565435,0.4333604949630874,0.949257491773391,3.312186743098399,0.7835675928849314,0.8155528949765225,3.6931763892914815,0.783705893622093
mult,False,False,2.2467677663578134,0.7415709901373948,3.135203860777441,3.523567244713232,1.2855623617487748,3.6711524204801886,4.0069382059577965,1.428726065220129,4.390870289431087,1.698568986868598,0.5371738780242408,5.421213384722373,0.582805488547089,2.808783943565435,0.4333604949630874,0.949257491773391,3.312186743098399,0.7835675928849314,0.8155528949765225,3.6931763892914815,0.783705893622093
hybrid_mult,True,False,2.2160063117932065,0.758001691224879,3.690083626427468,3.491171184185436,1.255547355967179,3.7393629096501018,3.9445924408454567,1.4067303436901557,4.443947206995323,1.4249696867437445,0.5505069727180902,5.338386273970539,0.563868178273566,2.808376706078765,0.3974192585464941,0.914594682371998,3.340655941351613,0.7300589067787104,0.8189390655222722,3.710821779336502,0.7723554272269083
am,False,False,2.2422617596060244,0.7426260113767238,3.157461004083057,3.534878984873275,1.2801772695702174,3.700390919217999,4.015486245837087,1.422039173289612,4.419391886801471,2.049498700219437,0.6363684906719401,5.441471043602848,0.5789444100676229,2.8031998608900803,0.4296031540885874,0.9415499949246392,3.2772408880803314,0.7763180075307782,0.811520469240517,3.664945793203093,0.7805003505499938
gm,False,False,2.2422617596060244,0.7426260113767238,3.157461004083057,3.534878984873275,1.2801772695702174,3.700390919217999,4.015486245837087,1.422039173289612,4.419391886801471,2.049498700219437,0.6363684906719401,5.441471043602848,0.5789444100676229,2.8031998608900803,0.4296031540885874,0.9415499949246392,3.2772408880803314,0.7763180075307782,0.811520469240517,3.664945793203093,0.7805003505499938
hm,False,False,2.2422617499135984,0.7426260113647917,3.157461013021569,3.534878948721897,1.2801772716720805,3.700390920915344,4.015486251557356,1.422039173289612,4.4193918618579175,2.0494987002194383,0.6363684906719401,5.441471290023698,0.5789444091439627,2.8031998608900803,0.4296031527301606,0.9415499949246394,3.277240855397252,0.7763180120857472,0.8115204713896285,3.664945793203092,0.7805003505499938
