model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,True,False,2.117810123814568,0.7619489308577471,3.3943239523993367,2.834827861684558,1.0672211508903544,1.7399100498356628,3.272105023687679,1.239724927751129,2.014724176715629,1.6823952472524917,0.2910365074576209,1.9325845238169284,0.5886447147584162,2.4653739528534846,0.3872478499867864,0.934189873540446,2.708584034166232,0.7129857488711479,0.8041991936500645,2.895846616762828,0.7478149648187564
poly2,True,False,2.10771843949499,0.723858432085802,3.3289945019816,2.875674889609049,1.065971585740103,0.7270803442721765,3.3147583127871667,1.2274409459912443,0.7291871732653544,4.1125634108106465e-14,2.8307019816506597e-12,1.1775874871636968e-13,0.5812830751046417,1.4386125605237607,0.3931074584340887,0.8909021324874169,0.4743051619313814,0.71046175989815,0.7573170115898383,0.6485203577048172,0.7337954832805161
poly3,True,True,2.09489978464418,0.7235516113794895,3.286439476112817,2.854498959029571,1.0709837915702924,0.7044771009655462,3.294772666826595,1.2249936635269811,0.7261265319393448,4.009480444379786e-13,9.686597930999085e-13,9.603285838349173e-14,0.579184690443778,1.4137276918227362,0.4020570425808679,0.9119919233283648,0.4613042424464909,0.7227491849137161,0.763229304137762,0.6402815422514101,0.7381354473232447
exp,True,False,2.112166783709428,0.7703411519719289,3.3827710126353905,2.8490559630640617,1.0866870132698403,1.5945390608646053,3.29126929383097,1.25895771794919,1.820816643962422,1.477895396539739,0.1930769475952687,1.7221311174663014,0.5912458338092957,2.406693721820629,0.390990931598669,0.938739111947797,2.60623773075839,0.7210987978414204,0.8092977255521359,2.804507865932133,0.7536396141318956
log,True,False,2.113835272256096,0.7654730028687633,3.411148455739872,2.8402339307177265,1.072058161350412,1.881135819720199,3.2818425667956013,1.2459326934527362,2.186742074239181,1.5713670657434038,0.2605296380009155,2.1176248193586105,0.5908317338692106,2.520235354952026,0.3888245038268464,0.9399342851370964,2.809373847012581,0.7173877758840147,0.808942794161975,3.000841456048017,0.7508924251559288
power,True,False,2.1078716897244867,0.772901795816432,3.3961519407283456,2.860856047435326,1.0921963661864325,1.736004613508484,3.3066147049777346,1.2650366816504868,1.9957425241150637,1.3755935360981075,0.1688247580277373,1.9218102253162568,0.5930478385322868,2.467662237607392,0.392309638428075,0.9434637129734762,2.7183432007475323,0.7247282323439822,0.8136044246023492,2.9174416031826973,0.7564334799762781
mult,True,False,2.1078716897244867,0.772901795816432,3.3961519407283456,2.860856047435326,1.0921963661864325,1.736004613508484,3.3066147049777346,1.2650366816504868,1.9957425241150637,1.3755935360981075,0.1688247580277373,1.9218102253162568,0.5930478385322868,2.467662237607392,0.392309638428075,0.9434637129734762,2.7183432007475323,0.7247282323439822,0.8136044246023492,2.9174416031826973,0.7564334799762781
hybrid_mult,True,False,2.103867422593517,0.7697648192354586,3.706621940507644,2.8972788772263995,1.087114116105191,3.671657946819781,3.357524092795112,1.263478815183222,4.372045210319009,1.1275928114081202,0.1869676387974124,5.239876966548038,0.5928969402165624,2.762564937519248,0.3906887496493536,0.9456209552133704,3.3548602200241504,0.7240399872185731,0.8156175124077379,3.6750322578201136,0.7555842409588256
am,True,False,2.117810123814568,0.7619489308577471,3.3943239523993367,2.834827861684558,1.0672211508903544,1.7399100498356628,3.272105023687679,1.239724927751129,2.014724176715629,1.6823952472524917,0.2910365074576209,1.9325845238169284,0.5886447147584162,2.4653739528534846,0.3872478499867864,0.934189873540446,2.708584034166232,0.7129857488711479,0.8041991936500645,2.895846616762828,0.7478149648187564
gm,True,False,2.117810123814568,0.7619489308577471,3.3943239523993367,2.834827861684558,1.0672211508903544,1.7399100498356628,3.272105023687679,1.239724927751129,2.014724176715629,1.6823952472524917,0.2910365074576209,1.9325845238169284,0.5886447147584162,2.4653739528534846,0.3872478499867864,0.934189873540446,2.708584034166232,0.7129857488711479,0.8041991936500645,2.895846616762828,0.7478149648187564
hm,True,False,2.117810123814568,0.7619489308577471,3.3943239523993367,2.834827861684558,1.0672211508903544,1.7399100498356628,3.272105023687679,1.239724927751129,2.014724176715629,1.6823952472524917,0.2910365074576209,1.9325845238169284,0.5886447147584162,2.4653739528534846,0.3872478499867864,0.934189873540446,2.708584034166232,0.7129857488711479,0.8041991936500645,2.895846616762828,0.7478149648187564
