model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,11.28400661777128,11.52850706684344,12.397301992467405,16.994505495600084,13.88598112664171
poly2,False,False,11.095407792300213,11.46895971907528,12.362033460571016,16.945576992350937,13.858509705987396
poly3,True,True,11.095407792148707,11.468959718757976,12.290843977490413,16.882050881788878,13.809315383393368
exp,False,False,11.33715860384765,11.553424719070586,12.425834888410876,17.028393991913152,13.91227798182734
log,True,False,11.10975170280006,11.454027482432794,12.323359170046883,16.902495343687484,13.835559155934028
power,True,False,11.147745583472227,11.459076544730838,12.319339599841747,16.902342733729352,13.828983022431125
mult,True,False,11.147745583472227,11.459076544730838,12.319339599841747,16.902342733729352,13.828983022431125
hybrid_mult,False,False,11.22194488892779,11.493005857069509,12.34593900208504,16.941000055462624,13.8453462036839
am,False,False,11.28400661777128,11.52850706684344,12.397301992467405,16.994505495600084,13.88598112664171
gm,False,False,11.28400661911761,11.528507068230834,12.397301992228128,16.994505495137602,13.885981126291746
hm,False,False,11.28400661777128,11.52850706684344,12.397301992467405,16.994505495600084,13.88598112664171
