,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,3.89916128081776,0.3262002499178111,2.335950912726264,3.0642617361048425,4.501434249055474,26.48789265067768
poly2,True,False,4.340360337376217,0.3732026328190945,2.335950912726264,3.3623631338166207,4.465766013461534,52.4831357705911
poly3,True,False,8.225706238817303,0.4126912875014995,2.335950912726264,3.577140955848596,4.864789895415329,507.86381089397247
exp,True,False,10.758283366009325,0.6377042156569663,2.335950912726264,2.874369496080836,5.272576288433004,2953.6870448968966
log,True,False,3.350113547741185,0.6377042156569663,2.335950912726264,2.874369496080836,4.361061790495487,20.644104583497604
power,True,False,7.22151223741844,0.6377042156569663,1.2473972903610142,2.754269413111216,4.604330717669121,665.0377264754037
mult,True,False,7.5961057062269655,0.6377042156569663,1.6380951305530205,2.754269413111216,5.669955730694406,665.0377264754037
hybrid_mult,True,False,5.360260330188142,0.3696845502136472,1.45473910251932,2.123994185020014,5.908574172150216,255.66901909780069
am,True,False,3.118979353684357,0.74565407529229,2.335950912726264,3.0300898278438995,4.262785925807627,5.721686056667706
gm,True,False,3.116278741514236,0.74565407529229,2.335950912726264,2.988392249408704,4.253635503694306,5.611777432395622
hm,True,False,3.1170462554214566,0.74565407529229,2.335950912726264,3.0002826892162084,4.261332130529185,5.610896674041846
scaling,True,False,3.2800374953329285,0.6377042156569663,1.544341981161355,2.7135797292241763,3.8535070885521696,13.178678720934167
anthony,True,False,,,,,,
diff,True,False,3.1600297587599857,0.74565407529229,2.335950912726264,3.1158194921233324,4.5095480998857385,6.20358734339577
