,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,2.9579341516616875,0.3420218210434286,2.5028828523584026,3.1472195161438172,3.6626859892277968,4.830631903775067
poly2,True,False,2.0652751516112065,2.1906400526089374e-15,1.3484730499733275,2.326050200632345,2.980910818790569,4.182010258512644
poly3,True,True,1.1914225162477188,7.713187404401501e-15,0.2608712824592956,1.3209427357425585,1.9732716719544985,2.4411857952230496
exp,False,False,3.303361365034745,0.7399189927875897,2.1009761617855287,2.866559391632215,4.417856357279226,6.568038946529888
log,False,False,3.006911216541761,0.2938080624291838,1.8168747597527384,2.6241043925925673,4.250918511765616,6.861166473554273
power,False,False,4.618142015141384,0.9856312568751562,3.15273476333407,4.115529891222645,6.335640288819144,8.69388426597744
mult,False,False,4.618142015141384,0.9856312568751562,3.15273476333407,4.115529891222645,6.335640288819144,8.69388426597744
hybrid_mult,False,False,5.082065795415974,0.8085362323431421,3.5934018024169725,4.343749172628345,7.158797813438546,9.85190894190198
am,False,False,2.9579341516616875,0.3420218210434286,2.5028828523584026,3.1472195161438172,3.6626859892277968,4.830631903775067
gm,False,False,2.9579341528469922,0.3420218212480208,2.502882857031567,3.147219514340594,3.6626859892277928,4.830631901928986
hm,False,False,2.9579341510497112,0.3420218210434286,2.5028828536373147,3.1472195154725338,3.6626859892277968,4.83063190013146
