,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,0.41270316719520295,4.4938668397781774e-15,1.4666945399975378e-14,7.505016413827198e-13,0.2325552492090715,5.436558933004744
poly2,True,False,0.16337777016264268,7.911120406306759e-13,7.290706976585917e-10,1.9036592702192515e-09,0.3214303927905995,1.0931825250265217
poly3,True,True,0.11934627523151649,1.0538752514784505e-13,1.2602405977313279e-09,2.8561544063184e-09,0.0756170686520012,0.9327408162477993
exp,True,False,0.17205597409822768,1.756820506391364e-15,4.783244865333381e-15,2.9745607783971395e-14,0.2232708290795717,1.5185587613029954
log,True,False,0.33806237017396235,4.176268858247851e-16,2.7519201823675253e-15,7.969489895918943e-14,0.2190730389827497,2.891042069464126
power,False,False,0.7252265042126899,4.915166856007381e-16,0.0250638000805203,0.0759637990227672,1.3875313963654128,2.7848269587944445
mult,True,False,0.17337667654666747,4.864753555590494e-16,2.383232787117382e-15,1.0010247573646671e-14,0.0085746658948169,1.9770953139616845
hybrid_mult,True,False,0.4448965590109821,5.2545343925732775e-16,2.289725645532388e-15,3.978404856516539e-14,0.0626775477156907,5.233100490881794
am,False,False,2.0120962942919767,0.3370526318130707,0.779725196312259,1.2896099627130635,3.30833894272618,4.918977105405896
gm,False,False,2.0169274657989043,0.3521540905121696,0.7879253611230054,1.292132865197416,3.2700310306232288,4.966116885941696
hm,False,False,2.019044223769114,0.3756206400273335,0.7656359749399775,1.2499131278865767,3.2826706807614325,5.0358562648355365
