,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,1.8842766097910695,0.0430331482911922,0.7873753869645339,1.4269407836358492,3.3205421244141675,3.801662794095404
poly2,True,False,1.8842766097529953,0.0430331482911917,0.7873753869660761,1.426940783634557,3.320542123509977,3.801662794094188
poly3,True,False,1.8842766097923476,0.0430331482912351,0.7873753869660898,1.4269407836347352,3.320542124400649,3.8016627940941863
exp,True,False,1.8842766095445156,0.0430331482911937,0.7873753853402045,1.4269407836342725,3.3205421244128197,3.801662794094112
log,True,True,1.8842766095770298,0.0430331482911933,0.7873753869660659,1.4269407836347172,3.320542124412819,3.8016627900614592
power,True,False,1.884276609526099,0.0430331482909111,0.7873753869660897,1.426940783634696,3.320542123367266,3.801662794094516
mult,True,False,1.884276609526099,0.0430331482909111,0.7873753869660897,1.426940783634696,3.320542123367266,3.801662794094516
hybrid_mult,True,False,2.1291436839237172,0.043033148290553,0.7882438621313111,1.4269407836348071,3.706520902479913,5.306941741469631
am,True,False,1.8842766097910695,0.0430331482911922,0.7873753869645339,1.4269407836358492,3.3205421244141675,3.801662794095404
gm,True,False,1.8842766097910695,0.0430331482911922,0.7873753869645339,1.4269407836358492,3.3205421244141675,3.801662794095404
hm,True,False,1.8842766097910695,0.0430331482911922,0.7873753869645339,1.4269407836358492,3.3205421244141675,3.801662794095404
