,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,2.819497106613504,0.2751252730260572,0.5360073660155042,2.0701316004173287,3.598653033134146,17.849260511835105
poly2,False,False,4.201154474498243,0.8864802672862646,2.5524282730328918,3.184606461888845,3.893909947092393,20.63123435483787
poly3,False,False,5.90264149715633,1.9435569765318848,3.887787377837432,5.171493860213457,5.984403787671062,24.222712356500992
exp,True,False,4.091368996570909,0.2888689882453094,0.5233427695532448,1.842337610754996,3.3078406744254725,45.14979383807056
log,True,False,2.87435611086748,0.2647287326137343,0.500797430557426,1.9439501484955573,3.204005256024156,19.712832387974707
power,True,True,2.6207103065752375,0.4617350930107322,0.9813008533627654,1.960529237286112,3.380940226912056,13.960965838985713
mult,True,False,4.0816959845224945,0.1425387675281264,0.2982354568631983,1.5644581795963266,3.299716677563551,51.07045906566656
hybrid_mult,False,False,10.793317422880728,0.2522942264660215,0.415344049065152,1.733276563430062,3.534799635620203,190.5251947052216
am,False,False,3.2052246570333915,0.4598213654927482,1.0282903573627356,2.7065574972513198,3.720704324754727,16.824799171655492
gm,True,False,3.165731544827917,0.4592827752453596,1.0276334722269131,2.7048681451815444,3.7202805006458752,16.346682024700552
hm,True,False,3.1307320057486754,0.4586502208615569,1.026932210629054,2.703056809156878,3.72317303566678,15.924994902061032
