,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,3.12498605766264,0.74565407529229,2.335950912726264,3.0324923825836647,4.255530586143264,5.603660621021635
poly2,True,False,3.2007723052343513,0.74565407529229,2.335950912726264,2.987797622469292,4.328790797906061,5.716829358792015
poly3,True,False,3.1923838879510833,0.74565407529229,2.335950912726264,3.57624724675487,4.230907771244129,5.611355284239107
exp,True,False,5.841603761891213,0.74565407529229,2.241786172621017,2.874369496080836,6.103830613766079,46.5067499640293
log,True,False,3.105181656029744,0.74565407529229,2.335950912726264,2.874369496080836,4.277498610432828,5.610996321974055
power,True,False,4.2170639762150754,0.74565407529229,2.335950912726264,2.874369496080836,6.619820680209409,11.223095635557597
mult,True,False,4.2170639762150754,0.74565407529229,2.335950912726264,2.874369496080836,6.619820680209409,11.223095635557597
hybrid_mult,True,False,3.55632493717532,0.5253570214625478,1.457166199626293,2.8844468492637927,6.172043615718679,7.287797826549209
am,True,False,,,,,,
gm,True,False,,,,,,
hm,True,False,,,,,,
scaling,True,False,,,,,,
anthony,True,False,,,,,,
diff,True,False,,,,,,
