,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,10.557836348570783,0.3262002499178111,5.565771510980563,13.119332725779728,14.448005039961068,20.92693532371294
poly2,True,False,11.995914338082244,0.3732026328190945,5.459170753346967,12.729846918504306,15.535004993687977,52.4831357705911
poly3,False,False,28.476215645296204,0.4126912875014995,5.9050054849957,13.224212917790098,41.02324865141017,507.86381089397247
exp,False,False,38.615983748640495,0.6377042156569663,5.552574874362244,12.955104292170553,17.362477153982567,2953.6870448968966
log,True,False,9.481719440035944,0.6377042156569663,5.180513431264569,12.907354867695812,14.74350487984373,18.86543774114168
power,True,False,9.926057509592175,0.6377042156569663,5.437718181945992,12.973246311463818,14.51992633342462,18.262261708662678
mult,True,False,9.926057509592175,0.6377042156569663,5.437718181945992,12.973246311463818,14.51992633342462,18.262261708662678
hybrid_mult,True,False,10.542923281644448,0.3696845502136472,5.365573832097267,13.084564993158498,14.394842377549887,34.409029485452464
am,True,False,,,,,,
gm,True,False,,,,,,
hm,True,False,,,,,,
scaling,True,False,9.807137743295005,0.6377042156569663,5.4361390635938465,12.948170949076914,14.510204276677976,18.262257695849847
anthony,True,False,,,,,,
diff,True,False,,,,,,
