train set size,test set,c0,c1,rmse,kfold rmse
1,flores,1.9947602133278615,-5.405676866547852,2.1383909562578096,2.1681981320594006
1,bible,7.336731273068106,-2.8633820930088456,8.298093343977452,8.419885650292917
1,gov,8.096523034914895,-2.9330578943403323,9.510837042233518,9.650648176948058
10,flores,5.659626033519623,-3.2259195397366547,5.257665605220503,5.332304169748556
10,bible,13.2644505377312,-1.6702292791644966,13.017347628047624,13.211296065860202
10,gov,16.696062799536936,-1.1473103104523183,16.914137707214547,17.169257166578035
25,flores,6.897021474059114,-2.971748348225035,6.342155499845802,6.43281602815407
25,bible,15.576163307048166,-1.4198497965395371,14.849989369268359,15.073999334308692
25,gov,18.51406485737093,-1.1787488252742582,18.786673181819854,19.070832850732913
50,flores,11.276256130278048,-3.083247508352637,2.735551473742115,3.5602435767181952
50,bible,2.1166666391013753,-1.1779593850920692e-07,0.8744839697233905,0.9877278479305964
50,gov,40.68499655261035,-0.5436582981644623,5.226017347783942,11.190312126407415
