model,mean,min,25%,50%,75%,max
linear,4.329083189723559,3.3467970766981217,4.308675468460004,4.31220525377666,4.752924037919779,4.924814111763235
poly2,4.3003953825201275,3.338603783571469,4.326721722848916,4.339197019243413,4.561364674950043,4.936089711986801
poly3,4.242323552551847,3.3624814780451886,4.332406284424003,4.337824052401851,4.581248322100266,4.597657625787928
exp,4.098000859636391,2.662570951275794,3.214870108177135,3.963719281167795,4.656615551075013,5.992228406486225
log,4.1636424683126725,2.724716279023169,3.4570130698599555,4.163155248677471,4.476562328662956,5.996765415339813
power,5.49678706837322,2.903222079228468,4.112329045201964,6.343302645317138,6.399541648123842,7.725539923994688
mult,5.12467078558461,2.9505274615850565,3.7208282901014487,5.719321049912098,5.745343206156671,7.487333920167773
hmult,5.871435953498425,3.094993743547528,3.926125401291832,6.610775744243658,7.048471227937307,8.676813650471802
am,12.773251891375256,10.710728492691768,10.94707077652548,12.507092171278227,13.371603640306583,16.32976437607422
gm,13.031329105633404,11.264495516490369,11.710108366157463,12.535949176403154,13.319490741799129,16.326601727316906
hm,12.9977409219484,11.331969997468777,11.807401403750356,12.46501285722248,13.188876749078934,16.195443602221463
diff,4.080835418778912,3.2702497131658994,3.954116816993893,3.956147549992212,4.48947866556251,4.734184348180046
