train set,test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,flores,ka,1.0735729825618845,0.9440883827571164,0.03261068951559949,-0.001974884076149776,0.08758647193580327,10.96460507819313
gov,flores,gu,4.254586068672904,3.6887966306578734,-0.32725904321586746,0.008189563172544498,0.10149655239978535,93.45938283241811
gov,flores,hi,5.053975370815233,1.3677606789544643,-0.04926424670578116,0.000549707296043338,0.13676698748986077,41.421017833183754
gov,flores,si,2.694987874154935,0.9414355543101667,-0.03277361212215761,0.0003557282050431833,0.09823187726684326,19.414910448487188
gov,flores,ta,1.6456736326580153,0.7795577070708172,-0.027035902416712096,0.0003061036503510376,0.10509101085154383,10.819219329105039
gov,bible,ka,0.07319107379355404,0.06406574550877446,0.013100341632100802,-0.0005224104424241181,0.08670213932017483,1.5637543416511093
gov,bible,gu,1.1927643730163453,1.0317138516282311,-0.10138529133472216,0.0026354976049050506,0.10069441209475179,28.290913404311695
gov,bible,hi,0.44504684314677506,0.37937600998716253,-0.01413176505560525,0.00015450941083119076,0.09546810179413166,1.3156002835685265
gov,bible,si,0.019068834601384674,0.11827847810911998,-0.003860014097782042,4.171875448358637e-05,0.04018679807660815,3.3817728200294646
gov,bible,ta,0.01949581476101214,0.09832597011235364,-0.002409449481787053,2.1493807615818004e-05,0.09273899869166936,0.9198707901539961
gov,gov,ka,6.549292304089369,5.688584843730344,-0.4233876560484599,0.009609785625064137,0.10161896355913595,124.76292759853716
gov,gov,gu,21.288069370067586,1.123965613444896,0.04017437212393729,-0.0023421728320244875,0.08669653758292149,310.5477668465877
gov,gov,hi,17.330480010389408,2.2632583324159334,-0.08536658809444506,0.0009569707250319435,0.09584482998773694,175.69592136541664
gov,gov,si,18.115454966797405,3.5251107361217513,-0.13159299158687454,0.0014728767860719624,0.09546809885902421,166.59258722961138
gov,gov,ta,16.906125158502594,2.70694142782022,-0.10379659666552309,0.0011842912302406617,0.09546322008834801,37.239270099484834
bible,flores,ka,0.18566123358253245,0.16136339500534388,0.0021764783213375177,-0.00021632929765888788,0.08718941848311543,2.606551193551979
bible,flores,gu,1.0207825003072895,0.8834793489300421,-0.08064290247375383,0.002015586010249225,0.10074853816132141,24.697404269188922
bible,flores,hi,0.7431661272284159,0.6422339382248801,-0.06272479668541178,0.0016130254991957866,0.1015076906379011,19.660745156083326
bible,flores,si,0.34661192896200393,0.29957675614204554,-0.020928765409419427,0.00045720915149638876,0.10069736674685434,8.638199498778624
bible,flores,ta,0.3477749334542766,0.30043859963393416,-0.022838906167735436,0.0005385601770951903,0.100586949304999,8.213431780962985
bible,bible,ka,6.787791287534149,5.881295661418563,-0.5591405773904615,0.01431950154892539,0.10152345890270048,151.88606144654284
bible,bible,gu,9.090773955141545,7.8613755679788735,-0.8559877039073004,0.022903429617409706,0.10459915787944317,220.07113235269148
bible,bible,hi,10.393995173180858,8.990675553516772,-0.9868636335397784,0.02649142015984388,0.10149702690446402,255.96872047344345
bible,bible,si,12.06959594606602,10.441859082926282,-1.1210721506609613,0.029827414425512556,0.10391521541738627,293.28812893590174
bible,bible,ta,15.565817499349512,0.48780100538438076,0.10382001959739742,-0.003919921305592694,0.0846401780644729,214.55363666954193
bible,gov,ka,0.07994060603698738,0.06851610062811864,0.001450112836311541,-0.000108755497725675,0.08672270750328283,1.7870757711245624
bible,gov,gu,0.5708506247725829,0.4938311631724292,-0.04103159696069757,0.0010001690772567353,0.10130122153210443,14.022963190085198
bible,gov,hi,0.4609722049644037,0.3982368623118625,-0.03475709527071511,0.0008387714776654327,0.10093654196926807,11.118836328778096
bible,gov,si,0.1235267784296392,0.1062133374248752,-0.0043242889959568395,5.269639663563173e-05,0.10082421387775178,3.74413351122821
bible,gov,ta,0.0798257496960973,0.06825768346596094,2.2361681699747807e-05,-6.402189581055748e-05,0.0877338644824091,1.736328418756834
