train set size,language to,c0,c1,rmse,kfold rmse
1,ka,16.56580607693011,-32.230920468449284,1.2557587958571952,1.2740959562918943
1,gu,26.067749525798448,-45.8991474652263,3.285574581758848,3.2857277139616063
1,hi,26.23465034179634,-48.74146878826378,1.5802157844124722,1.5883515880868038
1,si,29.866308216578823,-52.741952783102924,1.875267901442326,1.9383580053939597
1,ta,23.166237349002483,-41.438880812367024,2.3014841599280613,2.3256158494443495
10,ka,34.8734727145308,-66.36901973905266,3.020759937963619,3.023572147962711
10,gu,37.936689263012774,-66.21458302575283,4.339009400561608,4.33902527752643
10,hi,38.51529415941391,-70.83770217580918,2.57859302025067,2.5812650568356568
10,si,46.40729924957243,-84.24240750786346,3.6509093291357058,3.7093194733846406
10,ta,36.490189390986565,-65.89077938049685,3.467110220398302,3.5212180781051736
25,ka,39.51106714725611,-74.92015277194245,3.043404898000697,3.04629635084187
25,gu,42.32223440433617,-73.37337488667347,4.680540548330216,4.680578929696767
25,hi,42.87460251433944,-78.82501585340785,2.4797710600449334,2.480361721315219
25,si,51.903720989285134,-94.36532259047137,3.9879329884505474,4.04694809314252
25,ta,40.7200991810161,-73.1091678797648,3.322354494329844,3.376540859498873
50,hi,49.052709771692875,-88.35144509537005,0.32614489723306844,0.8165107293049896
50,si,57.1710796054364,-100.20301544885099,3.496604270530845,11.346205879534098
50,ta,47.208654953925176,-82.08966822476825,2.579880843652744,8.20648696916279
