train set size,language to,c0,c1,rmse,kfold rmse
1,ka,0.0,0.0,7.077664398184852,5.623394109404671
1,gu,6.200030607032429,-9.52385520678662e-10,8.479181188768575,8.163758242454666
1,hi,5.566459680285047,-7.389317216435746e-09,8.455171426907288,8.149834294518607
1,si,5.583233096204428,-6.778297712868908e-11,9.984916461901742,9.719241495504868
1,ta,4.166670055940933,-6.16517838204025e-09,8.487178875818422,8.202906090213611
10,ka,9.299729387970642,-7.610891183024005e-09,12.039158403970587,11.787689875491058
10,gu,12.464182578322538,-7.787414890179074e-09,12.211304055985691,12.07487769720883
10,hi,11.216661299774037,-6.211859576440146e-09,12.758843300810334,12.517610596282163
10,si,11.818403891607707,-0.005327846245146734,17.046832936264444,16.796029026696633
10,ta,9.484643090216741,-9.661252861030356e-09,13.932031741745151,13.725248010658792
25,ka,11.08333677259644,-8.350648731858613e-09,13.582637385133754,13.358758347554518
25,gu,13.866677620477086,-7.266492477155864e-09,13.687299493859735,13.458439754669621
25,hi,13.508015622096147,-9.250938443508942e-09,14.147317846525894,14.027543377395872
25,si,15.917443019284104,-4.348195302025207,18.19138908722852,17.53826975983247
25,ta,11.553440774218396,-1.319614433608541e-10,15.397417847813655,15.241980898997822
50,hi,17.19833193071699,-4.677465598347961e-09,13.831787415842603,17.4946504091559
50,si,24.73426084940655,-17.040570445919784,17.35581212814997,26.487892650677676
50,ta,15.410671804705578,-4.659435683836306e-08,16.854774436505366,21.840629468099024
