train set size,language to,c0,c1,rmse,kfold rmse
1,ka,16.893429998996307,-33.031197673888165,1.41152012461549,1.4521600912349986
1,gu,26.06774946539777,-45.89914729746573,3.285574581758849,3.410216849151056
1,hi,27.27365112651004,-50.77566502643185,1.606056227532228,1.6881227452448182
1,si,29.755547293710677,-52.28291289612768,1.8905015193199548,1.9053027787685461
1,ta,24.25408646200229,-43.24468962388671,2.3841278152375303,2.4854933521093647
10,ka,36.822541347646535,-70.16178273197553,2.9684509677524074,3.1261154214590476
10,gu,37.93668927397567,-66.21458305649249,4.339009400561607,4.491278581316285
10,hi,40.00713451679262,-73.29008652596184,2.475942302190595,2.587421154515936
10,si,47.34674811460648,-85.1281987616476,3.6240788022010313,3.7347946079103096
10,ta,37.926555479009934,-68.20595001168968,3.519581112734548,3.676991963078381
25,ka,39.51106719482923,-74.92015290932092,3.043404898000697,3.1683236079841333
25,gu,42.32223443589711,-73.37337497579595,4.680540548330216,4.830631897223132
25,hi,42.87460247017671,-78.82501572631887,2.479771060044935,2.5550513676873896
25,si,51.903720899233704,-94.36532236601758,3.987932988450548,4.07122144735776
25,ta,40.72009921153878,-73.1091679868635,3.3223544943298435,3.424562490393293
50,hi,49.05270975823508,-88.35144505486167,0.3261448972330692,0.3420218212061458
50,si,57.17107959685331,-100.20301542500545,3.496604270530846,3.6197680443586147
50,ta,47.2086550099099,-82.08966838106615,2.5798808436527456,2.673336490438261
