train set size,language to,c0,c1,rmse,kfold rmse
1,ka,-5.667472232916783,-9.106818094898731,1.3641352217646705,1.3644285772416391
1,gu,-4.8507970469889985,-12.287704195275001,4.239254021826314,4.265698245681862
1,hi,-7.068450141252738,-13.47043156370433,2.406883155656298,2.4126940521419784
1,si,-9.741742887292983,-17.582877420776683,0.9088777459852581,0.9384780145201836
1,ta,-6.613891153990669,-12.228899535210461,2.4538585554574683,2.454372280614167
10,ka,-8.890326111114518,-16.73440330199095,4.186085469885819,4.205621298988045
10,gu,-5.365630097711994,-16.438317452126622,6.006882744658901,6.0597154650671285
10,hi,-8.435365695408517,-18.015141770714813,3.9035832954964818,3.9300186997897515
10,si,-13.058239663872572,-23.462318985329315,1.8862671233747788,1.8908797931143921
10,ta,-9.425347012364538,-17.480523793651116,2.8407692229661072,2.8422861615597657
25,ka,-9.569350536330964,-18.53305002604985,4.565434119305023,4.59248968555905
25,gu,-5.256735317276581,-17.800752191917425,6.699049002579018,6.764933188871612
25,hi,-9.040427356865196,-19.667353501289167,4.151942363922995,4.19523782416694
25,si,-14.176596323155549,-25.73359860602953,2.0144577220538475,2.015767073981325
25,ta,-9.808797332873052,-18.885835009556438,2.5649841392311328,2.5649921274653034
50,hi,-11.166172175149027,-25.038174014719516,1.9983928294179287,7.343935600942971
50,si,-12.24990220169755,-26.28956141938435,0.2902355370870441,1.7716663449021481
50,ta,-9.401866159598246,-21.411338499121992,0.5386501172488105,3.201814852857703
