train set size,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,ka,3.963156344836515,136.82032842923888,-627.328571163712,673.3172059280433,0.3765379752591476,0.38487587260453254
1,gu,-2.6710241171354725,277.96815672883224,-999.9999999999999,924.5520868578552,1.3878166245619925,1.4470611315872575
1,hi,1.8914427403700071,243.46378453505463,-968.8105271353667,955.8137586476046,0.14575594372563866,0.14842171008588642
1,si,11.786017886402385,151.14143045318903,-651.23910401764,612.0782306162778,0.21906680999257855,0.21953642651126246
1,ta,-3.5902997804415846,278.53857004634443,-999.9999999999999,913.0582768442277,0.4159999669437607,0.42435629167058836
10,ka,16.055411722716208,202.65502120031505,-965.1638190418926,999.9999999999999,1.7659288138165987,1.8647925907501166
10,gu,12.046286200802383,248.98533081534222,-999.9999999999999,936.1517193364436,2.239624916949037,2.328817713651663
10,hi,18.569318552829785,205.74997154873054,-975.9569986664903,999.9999999999999,1.1405644875784964,1.194824341608457
10,si,59.123924102247976,-200.6586033986097,208.61638426401603,-62.479404399004544,1.7598499935457144,1.835065623324576
10,ta,20.481465495025684,204.54200312217637,-991.6634286384723,999.9999999999999,2.1003367014436165,2.2258497701776006
25,ka,18.728950466735743,207.6031435242727,-984.672660094761,999.9999999999999,1.6477074038477248,1.7222384746696604
25,gu,16.55133987589041,243.89264681799156,-999.9999999999999,926.5594082186327,2.354365230327414,2.441185789157586
25,hi,22.295478971017296,202.4467882404321,-983.5874769969404,999.9999999999999,1.011586774627603,1.037791077980395
25,si,62.678448325008624,-195.6166427216061,147.22382428414792,9.983991289509053,2.069201012009534,2.1613568408422323
25,ta,24.242520674308942,195.4406828245997,-985.5228716591618,999.9999999999998,1.9083749070258023,2.009431367176293
50,hi,49.598332676200904,-87.88819067182907,-25.46047575289171,45.09027969591409,1.0604529697558226e-11,7.313095678124755e-12
50,si,64.06050164543372,-156.6621294328121,29.722696482046768,94.58379801625802,8.457150154752983e-15,1.6020073277981674e-14
50,ta,52.37088614789762,-124.45383710947371,23.75346657008439,69.14097108690271,2.1906400526089374e-15,7.713187404401501e-15
