train set,train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,1,flores,-5.162788953379088e-09,-6.201621384753557e-09,-7.144559947435187e-07,-4.6092774305977644e-08,-6.624186514338577e-09,-6.842648300528768e-09,-1.47450785076549,1.7583002472724238,1.671776755489427
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136338242723196,0.8136338242723196
gov,1,gov,-3.1142571311111887e-10,-5.233478953058227e-09,-2.5299378543008504,-1.6796900050497142e-08,4.985455694555324e-08,-1.2882312668768759e-09,-1.0910807041074209,4.305224282447117,4.99580067919839
gov,10,flores,-8.852513981589891e-10,-4.848016259517213e-06,-2.0965199578337545e-06,-0.6356374668539543,-5.400510611483027e-07,-4.689038847395807e-09,-1.9842502063648344,1.5566908515294566,1.6164321992596826
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.630950643030009,1.630950643030009
gov,10,gov,5.577523346959415e-08,6.529122843882682e-08,-5.949584241688345,-0.053738931676555454,2.1414871417833097,-2.0352354652933845e-08,2.3024032979572027e-09,3.5153456034587256,8.447568617792573
gov,25,flores,-1.0427931459255207e-09,-1.9103013693816467e-07,-8.994530357462453e-09,-0.6892104479734418,-0.0010426361571809141,-1.6783217162995475e-08,-2.1275015235300643,1.4578703309695378,1.2971396940692759
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0644611887851028,2.0644611887851028
gov,25,gov,2.3843522573129756e-06,5.9630454459261195e-05,-6.299324927892509,-0.06741803141390137,2.4379567952538705,-1.9637774174974538e-08,0.04648810551845888,3.547538750141792,9.387688334645116
gov,50,flores,-2.8201059905174206e-08,-0.2779066048668932,1.3929027962468262e-08,-0.8927096663364783,-0.2313684365018214,-4.42441690714087e-09,-1.7707165735048125,1.0751249799773783,3.306837206022644
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457166199626293,1.457166199626293
gov,50,gov,-0.0019120714700598623,0.005687341049672576,-6.234274538526064e-09,-0.17971060015364082,0.9550863778200259,-0.0007744156928625108,-4.312809680139377,1.1813960779382762,2.276785640471543
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621387729022078,0.5621387729022078
bible,1,bible,4.60617321629753e-05,4.7211606463436564e-05,-1.0132021194103824,-0.7043916784238446,-1.2466903922947269e-09,0.00020118437477733447,-1.4875033102875084,4.519204289286704,4.544295831922624
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253570214625478,0.5253570214625478
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5218409903797439,1.5218409903797439
bible,10,bible,9.772800240065674e-06,-2.1632510277803595e-09,-5.196608933713881,-0.22602090087703183,1.7001690030055352,-0.006897419369190013,-0.0005463366771087128,3.770444377012531,6.604194465373339
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443117626371357,0.7443117626371357
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829207478663916,1.829207478663916
bible,25,bible,-0.007558260640781522,1.41474986355933e-05,-5.421550308820681,-0.2439641662780928,1.784744921696982,-7.820702930385309e-09,0.006332598205816344,4.209635374336405,7.357278021660003
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273618495495703,0.9273618495495703
