train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
gov,1,flores,47.49404739329106,-7.848690135651988,9.356629415869714,-8.566797996348908,-127.52255416607912,8.446685315746985,9.997062674151122,-0.3072779384584974,-0.13816528902949055,15.815780899539636,-28.22409784193179,-42.41654129011107,90.17166089702259,1.1911468222009523e-09,1.303308491971211
gov,1,bible,7.075094425405018,6.563898000885138,1.3837937976079724,-3.992562141196096,2.9999451837801385,0.7961957029944373,-2.0022251923607763,3.0083973461397218,-8.057839628323162,2.416589670437862,-3.0862114191528076,-23.42182890886865,13.719939207311855,1.5950457821131343e-10,0.5907305742209503
gov,1,gov,11.760574497894796,41.40352263689739,13.37727057630127,14.000625700497027,16.614502778541024,7.163462653347633,8.31643888289129,-3.2738714332418457,-18.586968789126278,-12.293549970221768,-28.463253320490068,23.54739223902193,20.956793769323514,2.8951858340402575e-09,0.879842837313985
gov,10,flores,28.633237356176192,16.21827301219857,-4.135299649953378,16.724653413823923,-10.430046173467412,4.829651348035141,-25.086863474758534,7.76708020360458,-27.56365033983338,11.477523468095432,-13.139793771373093,-18.683915004107764,-79.10057545586062,2.5659118587640324e-09,3.280533414858685
gov,10,bible,1.8674703921680742,-5.444248587229257,1.7591515707053478,61.706643800938735,3.6083608558718776,-0.1325363337811349,-4.126360151705956,-9.950825107558716,-6.286683572683909,-9.666820769673599,0.09858392551184604,-7.648891216289757,-37.55725071402091,2.661766731327799e-09,0.7244671763567959
gov,10,gov,29.25061012936852,26.247723849684114,9.47382620420648,19.46953698434524,-2.674200379614062,-27.72281889269593,19.27978496699654,-25.157725544520602,41.49104794728304,-18.89501973002266,-5.802635184382213,20.416286913203752,1.927778394926787,1.0157457130105164e-09,0.0134341797819729
gov,25,flores,35.08062273645988,19.570696058122085,-9.129837265975674,19.69218929144055,-52.02386992947694,8.15914407450596,-26.453707220558734,14.778915603681275,-29.60666703962027,15.412923350191742,-15.97332223359315,-26.764502917374923,-73.23515262409603,2.826753447430128e-10,5.395191457840025
gov,25,bible,-10.492825813804858,58.57372943809428,-4.835188543555023,-10.633807695792578,4.2328799387260325,-9.201284982617429,-6.027185459373632,31.324361786707296,-47.75301079784199,-5.642086615395721,1.356045471098482,2.71232399333369,-32.04949038988036,2.1953159294973663e-09,0.5821550973761447
gov,25,gov,-10.627597183228064,47.85582799148043,21.262082721453922,18.128102030976855,25.84978911305792,-5.082551600959265,-25.148858787261823,38.4501633797687,-9.979134098857088,-8.211471192889963,-9.319582712827895,4.787673408338906,7.766036585654886,1.4786575021764249e-09,1.0625199645902512
gov,50,flores,7.523888574738774,-2.737514886731359,-7.768557603600511,5.36194440984562,3.913299975216399,-13.233508462311537,-26.230665746568636,-4.346666192334192,-10.576155101286512,7.7329626970365455,15.259094612594456,9.346341496500617,13.996248768583753,7.832372402292624e-09,6.785389202032538
gov,50,bible,2.4123383083848537,-1.2524556913229439,-2.3171319551957428,1.56580200967655,1.1224589463106254,-1.4425679138675918,-4.365290596306924,-0.9899683455680297,-4.176204947020715,1.9721996825926449,1.516343245400177,2.3076629363128935,2.0920296514016035,1.5456870249981342e-10,2.393152335151073
gov,50,gov,3.832311175420383,-3.998053928762882,-2.0933147334779414,9.71042473042697,11.975739478893352,-1.9827023495013325,-10.6699814004414,26.133694032205277,32.661531954857814,10.785135059436053,-13.911160290607237,6.01432323975929,15.748268550023276,2.946026804654735e-09,6.043308933874582
bible,1,flores,3.804643758243423,2.6610773713539277,4.1455858888916275,2.486654490559034,-1.7390135068350319,2.8856356046715406,-2.611824297293883,-2.3788798221252567,-4.0630578123906,0.5194595090355676,-3.6562837777894432,-0.32258199825751127,-4.353841483597355,1.725505349375648e-11,0.2409218613265296
bible,1,bible,-6.936428642740464,53.10784138744436,27.443068648167696,31.026947418911856,15.389044875751777,-31.75639987625246,16.517883746772135,-4.512981090764068,-17.50015766706583,-7.052037618447209,-23.19331348192606,35.82415352786808,17.03664455765414,1.2363933621987821e-12,0.06909696619907976
bible,1,gov,2.7673026343854117,1.2750907828590723,1.4045638163786616,1.5193185564842846,2.5439791830235787,0.9237986137114846,-1.1282124324915093,-1.4072047795408364,-2.8496719387514005,0.28840359208723276,-2.6594473815802564,2.016680494214306,-8.12387063955365,3.9388812156653426e-10,0.23482031710006396
bible,10,flores,0.03571928832361173,1.9149887459676251,32.092532715260575,3.1592866949510294,30.563591619881446,24.06463181090854,-41.1012807444164,-3.4495087521154626,-16.867533526874393,0.7153066477110638,1.5499019945817698,-35.70770807830677,13.571995704427717,9.953336511309294e-09,0.8991526289719666
bible,10,bible,69.88746242857495,-120.4945828232638,-76.46995302657193,-62.89342102982863,-183.18110948967606,119.65174206217276,-30.432433906993086,48.63594320065171,69.31088371508623,10.610233691609979,-59.07602923430381,135.09312303411355,7.370215190829312,4.460452134200967e-09,0.5825061106204237
bible,10,gov,4.943990554425382,-10.681517761123136,-12.720026665454625,41.03252748074631,-1.8157177894572203,-9.06621292664976,16.188765132883386,-2.5001785139371466,1.9939364404654603,-0.27665027405417025,-6.296279282201359,-15.523721735458446,0.6217935029604783,1.0647272400314828e-10,0.5546318491132819
bible,25,flores,-0.15090057232991796,25.417791755489603,8.062339797863295,5.66812144109482,-29.40540312290109,-4.959961679523401,-3.9343518581484105,2.553949826676247,-13.710227056956185,0.24495732363974226,1.3681770721861526,-4.093301399983733,-13.976578796098769,1.8448927636810463e-09,0.6720454887867996
bible,25,bible,-11.023594433640714,-14.16275695757812,45.675778715289056,113.68314680643886,11.357875856804652,19.568664782963147,-38.868976766851084,-15.738720540872604,9.330101924957763,-13.85429216156858,-16.97472777769199,20.131215848240156,33.19912355119724,5.131181303818497e-14,0.4248773147385395
bible,25,gov,6.032810081861354,4.574093883008816,3.794467968505475,3.041276107779135,5.70038669069675,5.046880508371066,-8.520472324144539,1.1541735235164794,-8.302646186477837,1.7823049648608589,-2.974583807831452,-24.15364963377836,11.274424388214694,2.5461559299490687e-10,0.7725233162982139
