train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2",rmse,kfold rmse
gov,1,flores,23.89629177987078,81.78062231375911,83.50553551004411,-55.90780132384223,-57.20996336079537,-13.31702815153716,-28.419942294557387,-39.31414248927116,-26.450675349434917,5.288205658830306e-15,4.074987368680092e-15
gov,1,bible,11.960054887579744,15.12402115826029,13.21351079598634,-33.076264378440776,-34.18061383141828,3.201815057230651,-6.218835944527545,8.881059104126756,-12.753321547621903,7.948549845966818e-14,4.992436671208897e-14
gov,1,gov,-39.88555153022269,162.63258149073678,172.297386074444,37.36133603768956,36.32218195183037,-36.668118275745975,-51.88119858129559,-92.74631296625479,-48.40915640356051,1.3759600911837627e-14,2.414800159722067e-14
gov,10,flores,63.13221602577776,60.88065933957888,47.977969725639184,-164.11996350375026,-168.19344394919077,20.028715865127765,-47.055451871868065,85.79197066178699,-83.99670658035221,1.2535593018283003e-14,9.565974336450906e-15
gov,10,bible,19.836546464556296,27.251297213719223,25.84582900788823,-48.65419788644947,-49.20639560451582,1.595318440274775,-12.123759701333805,9.376711310029071,-22.951168694140456,2.7861953171736757e-15,4.1317602818954125e-15
gov,10,gov,-20.111439752489424,81.79471248278905,85.43305091272195,34.069381982287624,29.36827917605352,-26.7692053558931,-34.49447258156798,-30.116564397085583,-3.222213254311787,9.127086697919487e-15,1.4904470165364382e-14
gov,25,flores,65.93599411663082,66.27940140583208,54.84322969811512,-191.48445619030534,-194.00173166155287,26.129065913815893,-55.47981383038175,123.7570689444303,-111.97843737349095,1.1410794256849927e-13,1.4680920307694063e-13
gov,25,bible,22.948194549689795,32.59209595081404,29.826300133036128,-50.53074009899125,-53.35057569643274,0.050375101289603874,-11.248674974690795,0.9892000281591716,-20.403303217807238,4.972956498966481e-14,2.1967607926391047e-14
gov,25,gov,-10.98607315442809,85.30592091069917,86.83167672172861,13.533538630870945,20.79286183984141,-28.241488374171755,-37.567666147947705,-28.813028139541245,6.741404195954724,6.355287432313019e-15,7.105427357601002e-15
gov,50,flores,25.9495811779067,1.2726427724305542,-7.404064379970121,12.018173482660641,12.9732905728306,-11.141092964738537,-9.646992257416517,-5.640439743448884,-17.009417763061663,3.1728594776101207e-10,6.869251386299817e-10
gov,50,bible,5.426083277253072,-0.2888692798504024,-2.4303042789444764,3.6556733687422125,3.767551779663402,-1.4398626649217845,-2.108829645791533,-2.693303476761684,-4.254799249100262,5.81664788770835e-12,7.431338698417548e-10
gov,50,gov,7.483227309544594,9.309256949729638,9.839736361961313,6.589982168464737,3.568020833750255,-10.888124486692684,-15.250409609974303,22.90285077811191,29.46047217519615,8.769920030559666e-09,2.7019841088570714e-09
bible,1,flores,4.8365782724272925,18.263234635785338,18.690209699320196,-12.660892618377723,-13.261030063473743,-2.870067775098057,-5.121065766849273,-6.700463153093499,-7.925380186753413,3.292857325621346e-10,0.04663288004851267
bible,1,bible,-49.994365278496005,132.70959765360666,152.86850412198822,75.3559018779629,83.49852112175473,-52.927512595554646,-46.547230806414035,-93.50480717295927,-30.93952667725406,4.259048578185626e-09,0.7694324310913478
bible,1,gov,4.287014998958845,12.607638725442127,12.669941568869993,-10.089987599895409,-10.75432204122728,-2.126972551316409,-3.9331697936296637,-4.27859404581229,-5.6150052705199105,1.0684120818973035e-09,0.292123088333907
bible,10,flores,6.017352098567448,15.024264685211893,14.126262768751555,-36.30314990359021,-36.82359665526251,33.78996298483699,-39.717877235771816,18.325132018681582,-20.70837911320337,8.230517831454718e-11,0.806620324668206
bible,10,bible,-45.02146147220148,102.94370480788075,123.14510304939267,86.42957382525836,95.35940436885818,-49.60684123695026,-42.61751191082944,-74.29042326648583,-13.381024330847268,2.2653689529509913e-09,1.0489954214880974
bible,10,gov,10.142097300377392,18.67569501889284,17.829226475755288,-23.057352311676134,-24.430567697678647,-1.6512350523842598,-5.926502789640433,-2.1884466640311855,-9.826591134582376,5.14824789339645e-10,0.19437297629394296
bible,25,flores,15.036475227607822,14.012392437985806,10.895433075137907,-38.341261922524005,-39.547137795532,6.1406248269248005,-8.049080512702991,15.035033335718502,-15.400804996106952,1.999649438753427e-13,2.57628471690583e-13
bible,25,bible,-56.17081392530063,108.29327799219544,120.41836056483854,113.47638436521859,115.30652730543432,-53.85622204103462,-41.11870426023421,-76.10693168264015,-17.21593970442625,1.0539051923921737e-14,1.769237144058697e-14
bible,25,gov,12.052905723605434,17.19854617080385,15.604675226118244,-33.83302519248212,-34.91080556108347,1.6628060514894762,-7.002977118102443,11.007377460061418,-15.76109470790807,9.443723070418761e-14,1.2212115152820416e-13
