train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,4.219466656253893,1.673811224552605,2.216552889643844,2.2281657646545865
gov,1,bible,0.4396748184152007,1.6747693254711218,0.7857423659735506,0.7882439913407324
gov,1,gov,18.759700516383855,1.6748024457775665,3.7060785812290997,3.7065206144560783
gov,10,flores,7.28274906292667,-2.552684696105098,3.2696075197695116,3.3240276774997786
gov,10,bible,0.20699846730768273,-1.0306902864043677,1.2445882853377659,1.256200620920574
gov,10,gov,34.379658917284,1.6746038077972232,3.7178188107339967,3.717818844365666
gov,25,flores,9.701746870424842,-2.560287738463951,3.740053475553524,3.801662794482938
gov,25,bible,1.0561156310681763,-0.6265647064527224,1.4160979250508539,1.426940783636047
gov,25,gov,38.19970981009391,1.674838166904849,4.419878038645385,4.420129818578776
gov,50,flores,4.695239558754974,-3.838423432246346,0.408248290463863,0.4303314829119355
gov,50,bible,-1.8388472150196862,-2.389249388071958,0.04082482904638634,0.04303314829089708
gov,50,gov,41.945320247303236,1.6736184083907244,5.29763634071422,5.306941628788119
bible,1,flores,0.8787563913945362,1.6741782319691167,0.5846236333299208,0.5932481337823259
bible,1,bible,16.512098162005476,1.6742338861316999,2.7865139957392624,2.7894273752195216
bible,1,gov,0.3453368740292952,1.6737797173571642,0.4026434802255609,0.4134984893837351
bible,10,flores,2.1454052857963495,1.674096653386436,0.9272282185403339,0.9473307606437361
bible,10,bible,26.812137491786057,1.6743722669279417,3.3990728910868326,3.3997420937093294
bible,10,gov,1.0952734162468087,1.673488811851051,0.7374495948623051,0.7554921329025132
bible,25,flores,2.239545808145479,1.67417407799067,0.8449053115129358,0.8481275278234693
bible,25,bible,31.379673874766766,1.6747131378080164,3.719921515753918,3.720193205803121
bible,25,gov,1.099514407085433,1.674029646141189,0.7908502524970821,0.794939426773266
