train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,32.624527508384865,-46.94970741412321,-0.5,1.0824527526699175,1.0837432036153116
gov,1,bible,11.51878287562285,-17.923754133842106,-0.5,0.2865563166662974,0.28716837989004923
gov,1,gov,53.58426480254869,-57.704745063901115,-0.5,2.8899306039239425,2.919883736750713
gov,10,flores,49.51401563465829,-63.11556820597612,-0.5,2.2463772139439206,2.281523951864853
gov,10,bible,17.12456566663034,-25.271289479726946,-0.5,0.7000664611295937,0.7022068249524195
gov,10,gov,40.74603884442689,-10.028458379665377,-0.5,3.7329594613322787,3.7334965708973518
gov,25,flores,58.11514757102852,-73.43736135109822,-0.5,2.4411741382338565,2.478164881037898
gov,25,bible,19.999546386233256,-29.317125106179645,-0.5,0.7398316763654271,0.740260553349668
gov,25,gov,45.34594636020648,-11.335042336721614,-0.5,4.432002799873982,4.432004322927425
gov,50,flores,96.07064928995888,-134.0343282784433,-0.5,2.7352635470893527,2.735263549828029
gov,50,bible,18.16266261101569,-26.187805148031067,-0.5,0.7756717524117802,0.7756717519080684
gov,50,gov,85.61881234817135,-70.86471416733477,-0.5,5.225578117986436,5.225578172481048
bible,1,flores,8.099326735530553,-11.69928795017845,-0.5,0.2257190124544583,0.228587421720995
bible,1,bible,20.029685569635806,-5.358830466319314,-0.5,2.793822935990247,2.796526710405066
bible,1,gov,5.196318038718287,-7.641788390665548,-0.5,0.1848664014433246,0.18627129982322474
bible,10,flores,13.684255321447942,-19.093273225799138,-0.5,0.25571639964239257,0.2557352796655616
bible,10,bible,16.811619374224488,17.787603114969077,-0.5,3.3052838113602747,3.331728177514949
bible,10,gov,9.9189389628568,-14.443946638651619,-0.5,0.29216268354256386,0.29372567655647824
bible,25,flores,13.882113836933042,-18.867506433573915,-0.5,0.3390645598880612,0.3391617506383122
bible,25,bible,22.542011011286174,15.442968323272446,-0.5,3.6834754826737295,3.686339477409089
bible,25,gov,12.113952863128384,-17.815143467882898,-0.5,0.29791062811907704,0.29800389593298154
