train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,40.8,-28.000000000000068,-25.999999999999826,0.8944271909999159,0.9033271832508906
gov,1,bible,10.099999999999998,-2.9999999999999987,-17.0,0.25298221281347033,0.25298221281347033
gov,1,gov,71.94999999663314,-48.49999999608602,-19.000000000845866,2.515750385074004,3.501142670597567
gov,10,flores,52.449999999978274,-23.99999999998946,-47.49999999997342,2.2400892839349065,2.6883080180663925
gov,10,bible,17.35000000000026,-8.000000000000373,-20.499999999999737,0.7000000000000001,0.7341661937191132
gov,10,gov,64.34999999931026,-42.9999999991648,28.499999999738524,3.2140317359976405,3.4656889646937463
gov,25,flores,60.09999999978503,-25.50000000013517,-57.49999999910103,2.439877046082445,2.942278029011044
gov,25,bible,19.79999999999819,-8.499999999997621,-24.50000000000129,0.73824115301167,0.7489993324429655
gov,25,gov,72.84999999590568,-49.99999999504423,33.49999999851042,3.840052082980126,4.033236913448033
gov,50,flores,42.212710568515405,-43.4999999999928,31.46822357869606,2.735263546107882,4.042151143399221
gov,50,bible,7.214357663271723,-8.49999999999997,7.21410584181988,0.7756717518813396,0.9456416920765995
gov,50,gov,45.571424896278124,-22.999999999997847,45.57143775929877,5.225578117937445,5.751186566437139
bible,1,flores,9.049999999999997,-4.999999999999999,-8.499999999999996,0.2408318915758459,0.25884358211089487
bible,1,bible,57.0999999986135,-57.999999998280465,37.99999999939647,1.5811388300841898,2.024845673131663
bible,1,gov,6.29999999234166,-3.999999991680358,-5.0000000004257235,0.18973665961010275,0.18973665961010275
bible,10,flores,12.500000000000236,-4.000000000000275,-16.999999999999925,0.260768096208106,0.26832815729997145
bible,10,bible,57.849999996484264,-56.999999995005155,61.4999999968635,2.1358838919754044,2.324435415321317
bible,10,gov,10.649999999999961,-5.499999999999958,-11.0,0.3178049716414141,0.319374388453426
bible,25,flores,11.999999999999963,-2.5000000000000004,-18.499999999999893,0.291547594742265,0.29832867780352296
bible,25,bible,58.64999999537997,-56.499999992805755,68.99999999437246,2.2210357943986407,2.453976365004325
bible,25,gov,11.600000000000028,-4.500000000000034,-15.499999999999993,0.291547594742265,0.2983286778035248
