train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,flores,18.769138602406944,10.544088204782627,0.2928204037819092,-14.428455531408414,-16.84349036270369,-114.50224351842245,191.87692538142514,0.8944271923533786,0.9033272325925832
gov,1,bible,3.289803690986583,1.7113406955827777,0.029823946723280627,-1.759409980168783,-0.025782291641181166,-0.6465138396443733,-44.65317575632322,0.2529822128142341,0.2529822128134863
gov,1,gov,29.166145321694227,12.718662835672642,-3.690957123882947,-20.00198378201699,17.688639885787428,-78.91143820854076,50.1339322134384,2.5157503854329364,3.501142829535669
gov,10,flores,27.413949506276232,24.115098803631774,-34.0552714768539,6.1217750821656365,-22.469137934512744,-21.279541935261392,-27.393297533974167,2.240089283968978,2.688276570674712
gov,10,bible,6.588444258414978,3.3044511296049235,-0.22208661069037325,-4.015678377934496,-1.7344804007655668,-14.527895936105539,-23.232422540076676,0.7000000000000322,0.7341661847948597
gov,10,gov,27.17345394933967,17.19527876171468,-9.53915473474631,-15.52431272325066,37.78624227632453,-1.6314266920278728,-22.011469466339083,3.214031735997643,3.465699618202439
gov,25,flores,54.802192844568246,-26.32216417927745,-1.5595833443354654,1.3968866192655482,-24.6200896519188,-30.367101954898043,-31.415007206965345,2.439877046185457,2.942278816612442
gov,25,bible,7.797942969123807,4.004648351475474,-0.10153459443927096,-4.543074934629227,-2.6088823659242757,-21.271468063409507,-18.921773598565878,0.7382411530129168,0.748999333772841
gov,25,gov,40.05459442296102,14.766299824593862,-14.696567101627794,-13.595137447707195,12.123917557499547,30.1590766994688,0.71548449747642,3.840052082980126,4.033254233104909
gov,50,flores,14.70662878448412,9.289213222013752,-7.372105733538665,-14.312145124231469,16.49940717613396,21.75631227616065,-17.07184358810758,2.735263551701473,4.654538359606454
gov,50,bible,2.7332219938216022,0.9830523391769963,-0.9109056796800123,-2.8605881503520636,2.989224537777916,4.792948546940506,-4.802089146031613,0.7756717519088947,1.0473986259097545
gov,50,gov,-21.02195675329335,-15.419679644850811,201.3119598339737,-143.9383926612505,40.99332280057641,15.278533355361104,16.033980685233207,5.225578117937445,6.851876165076718
bible,1,flores,3.8392822707907306,1.7866658670101605,-0.24215811534048617,-2.3345402406110107,-3.1982564465240153,-5.213670009011246,-4.464997561380555,0.2408318916194643,0.2588431771828423
bible,1,bible,6.679494848253189,13.288532887666245,28.2506518470984,-46.11244053374554,19.91831311286457,28.23339890135552,-4.545421638428148,1.581138830089931,2.024845673255316
bible,1,gov,2.2194170003299734,1.015716396281485,-0.27579673994634174,-1.6574517382862948,-0.1441391081963591,-2.6799187126086847,-8.053773301879167,0.18973665961334926,0.18973665961010475
bible,10,flores,6.655276554899195,3.492995536732464,0.28346751433585693,-2.9636632190777816,-8.81818300947648,-21.211751838752082,18.016826250510643,0.26076809629437636,0.26832810935488044
bible,10,bible,19.805321903661277,8.477979485306326,-4.757658807720015,-20.826037525697668,52.892378911043245,2.6849157308844496,18.18525087025532,2.1358838920165706,2.3244886758732752
bible,10,gov,4.5517653896321235,2.3077501495931116,-0.13579871036541558,-2.7858792480470065,-1.5951324659460313,-23.71588972231139,19.449340031843402,0.3178049716414147,0.3193744410178778
bible,25,flores,7.038630981677718,4.388554951277794,1.150913991159163,-3.3487932506790945,-20.883647662247313,20.859076063840764,-33.020214299635654,0.2915475949449894,0.29832976867541966
bible,25,bible,20.8683515418596,21.399965584803514,-1.234576181400684,-27.87981108478376,8.259643314018517,71.57885715331206,28.74367045526097,2.2210357943988064,2.453975585218781
bible,25,gov,5.406541720393949,2.848963775625481,0.11740891244098169,-2.794110970402565,-5.104404967407909,-21.554670217233195,12.682902849815683,0.29154759474226505,0.29832844185818075
