train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,0.18643482292539532,-26.326312733423666,-2.7003197869978,0.8944271909999157,0.8954204474869766
gov,1,bible,0.0007064939640424958,-57.45582458931,-6.601469519871554,0.25298221281347033,0.25298221281347033
gov,1,gov,5.794385953772729,-5.772020942456711,-0.6016011743182523,2.515750385074004,2.6434405190574966
gov,10,flores,1.6936889994345912,-8.376359245922446,-1.6606059537702331,2.2400892839349065,2.2942197898779986
gov,10,bible,0.03967576930403819,-28.969820091099965,-3.6360366547284535,0.7,0.7038781468274428
gov,10,gov,24.646754105015212,-1.4721619643017283,1.2124996853752048,3.218435084788374,3.2469245115741447
gov,25,flores,2.102677656945041,-7.538225130005997,-1.645545720973331,2.439877046082445,2.5006887939974534
gov,25,bible,0.060687478698768074,-25.70661669051746,-3.4554354394472493,0.73824115301167,0.7394442357458592
gov,25,gov,27.282791625236268,-1.5227735043435282,1.2122517565025914,3.8486811742622344,3.8701260048859685
gov,50,flores,5.222725531486948,-5.750717548739571,-0.1653808276958874,2.735263546107882,2.735263546107882
gov,50,bible,1.2692694077320055,-4.865484395715076,1.467757529692491,0.7756717518813397,0.7756717518813396
gov,50,gov,5.286811592181558,-3.428192055194041,-2.0786948128068414,5.225578117937445,5.225578117937445
bible,1,flores,0.0381774914548111,-25.113224683681576,-3.0276374214112116,0.21984843263788198,0.23629078131266823
bible,1,bible,10.83322131677954,-3.188244762672327,1.212350030396765,1.8294301866435014,2.1307746484444356
bible,1,gov,0.011706385836010545,-33.79041879618761,-3.496537564031398,0.17320508075688773,0.17320508075688773
bible,10,flores,0.14729335246652414,-12.457786030598417,-2.5705037015633954,0.23804761428476168,0.2449489742783178
bible,10,bible,19.26304165052225,-1.543918192860852,1.2123134645739224,2.6203500798426673,2.723913545759819
bible,10,gov,0.03655482176246238,-26.342439758166186,-3.242739881305155,0.29011491975882014,0.29154759474460495
bible,25,flores,0.21384305571942797,-7.349089805757919,-2.375942741691002,0.291547594742265,0.2923088169119167
bible,25,bible,22.467663001146608,-1.5412337918638312,1.2124892181379545,2.8126373872023507,2.8311481327813492
bible,25,gov,0.033090255212694826,-25.445629690250644,-3.5640391445448563,0.29154759474226505,0.29230881691191674
