train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,999.9999999999999,-5.737030631441415,1.429740803607018,1.4305226118643206
gov,1,bible,999.9999999935995,-7.576539513170485,0.6860238002018657,0.6861592981905947
gov,1,gov,309.2600211146378,-2.9710129155366523,2.609661536163902,2.732967212658659
gov,10,flores,318.38412462693503,-3.517243870670472,2.8330784199054384,2.8760698574993326
gov,10,bible,999.9999999999984,-6.627706657373837,1.0319667052424644,1.03261903022759
gov,10,gov,86.73018646623902,-0.9738990325751941,3.3783131885602327,3.4058446501331243
gov,25,flores,301.39492220049345,-3.2574163404315613,3.218902504477781,3.2652377827314836
gov,25,bible,999.9999999999999,-6.413708039727555,1.1639659341403732,1.1642180211838855
gov,25,gov,100.29521734727648,-1.0176786290539865,4.030177828996301,4.051090388195962
gov,50,flores,293.384676858849,-3.2566819125046513,2.735263546107882,2.735263546107882
gov,50,bible,113.39158411761275,-4.260843650429591,0.7756717518813931,0.7756717518815303
gov,50,gov,70.60431336157758,-0.5484091569958636,5.225578117937445,5.225578117937445
bible,1,flores,999.9999999999999,-7.190533312090814,0.41576288910819237,0.41579415040481216
bible,1,bible,159.47387336135492,-2.411620568165064,2.1189620100417095,2.413158332725147
bible,1,gov,999.9999999999999,-7.769472194315887,0.27805695573077194,0.27834877426900995
bible,10,flores,420.9007404156386,-5.511768788183458,0.7337120234351793,0.7359800726877709
bible,10,bible,67.92154700089672,-0.9816375755620851,3.178901801985502,3.2872861146868884
bible,10,gov,999.9999999857882,-7.0163475907723045,0.5423467943572955,0.5427974000631789
bible,25,flores,66.48349875441667,-3.455016433106699,0.7357535819371411,0.7360555534510691
bible,25,bible,86.47632144153998,-1.0670415039121712,3.358719994283536,3.3766847647522895
bible,25,gov,999.9999999999463,-6.9870100073706505,0.6368721377001586,0.6370069033572802
