train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,0.0,0.0,4.229420764123617,4.229420764123617
gov,1,bible,0.0,0.0,0.8136338242723196,0.8136338242723196
gov,1,gov,15.640003227394002,-8.344015392578724e-10,4.502930586023426,4.582122081457432
gov,10,flores,8.339207581119808,1.6941792435050637e-07,4.253041595143953,3.6829592041337955
gov,10,bible,0.0,0.0,1.630950643030009,1.630950643030009
gov,10,gov,29.505888788909008,-3.7799427431802864e-10,5.674844684752414,4.517138236377453
gov,25,flores,10.788595632850477,-7.114634914138202e-09,4.621330513694459,4.067142983018418
gov,25,bible,0.0,0.0,2.0644611887851028,2.0644611887851028
gov,25,gov,35.07994620236973,-1.4457893625306128e-07,5.109977389084187,5.064221684238462
gov,50,flores,10.699397995027882,-5.35291930499382e-09,4.235525593237097,3.5762305261818983
gov,50,bible,0.0,0.0,1.457166199626293,1.457166199626293
gov,50,gov,36.82466060955421,-5.535162964552794e-09,6.986440577881565,5.6113449155991155
bible,1,flores,0.0,0.0,0.5621387729022078,0.5621387729022078
bible,1,bible,13.51955485878504,-3.3540287423403206e-09,3.9509272205896435,3.8313832141532433
bible,1,gov,0.0,0.0,0.5253570214625478,0.5253570214625478
bible,10,flores,0.0,0.0,1.5218409903797439,1.5218409903797439
bible,10,bible,22.92366357421081,-9.225090876216213e-10,5.158832855311736,4.261648577335717
bible,10,gov,0.0,0.0,0.7443117626371357,0.7443117626371357
bible,25,flores,0.0,0.0,1.829207478663916,1.829207478663916
bible,25,bible,28.260783913372588,9.157704720165386e-10,4.496718920290854,4.447007728449764
bible,25,gov,0.0,0.0,0.9273618495495703,0.9273618495495703
