train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.4,-34.80114579710966,1.3043516908155304,1.30503299234583
gov,1,bible,0.30000000000014837,-8.2257253702239,0.6703233050799691,0.6703233050799691
gov,1,gov,15.850000000041366,-52.04353166865332,2.6096615361639017,2.732967455029884
gov,10,flores,9.450000000000003,-37.80669929776918,2.83307841990534,2.8760698492522363
gov,10,bible,1.1500000000273087,-14.078645344755621,1.0248577137014354,1.0275104757527627
gov,10,gov,32.75,-31.7955922964502,3.3783131885602327,3.4058446485312666
gov,25,flores,11.600000000000225,-42.39412306192986,3.218902504477781,3.2652377827315697
gov,25,bible,1.5000000000853062,-15.81870263370487,1.1598850517759651,1.1606511582380574
gov,25,gov,36.25,-36.85757713966612,4.030177828996301,4.051090388195916
gov,50,flores,11.30000000000015,-41.28681387747804,2.735263546107882,2.735263546107882
gov,50,bible,1.6000000000038566,-8.067538343821443,0.7756717518813396,0.7756717518813397
gov,50,gov,40.80000001327651,-21.829809447511927,5.225578117937445,5.225578117937445
bible,1,flores,0.6500000000012917,-8.779379962433266,0.41079191812887456,0.41982139059126267
bible,1,bible,14.300000000000038,-37.01576416601681,2.1189620100417095,2.4131583729888937
bible,1,gov,0.3000000000000463,-6.169294027669133,0.26770630673681683,0.26770630673681683
bible,10,flores,1.7000000000407434,-11.864026975712896,0.7337120234351712,0.7359800722034857
bible,10,bible,25.450000000000035,-24.91445665020359,3.178901801985502,3.2872861147002843
bible,10,gov,0.7500000000048126,-10.440343739064948,0.5346338310781813,0.5354126134746157
bible,25,flores,2.1000000000034555,-8.225725370172652,0.7357535819371411,0.7360555534590737
bible,25,bible,29.750000000085205,-31.795592295068648,3.358719994283536,3.3766847646439966
bible,25,gov,0.9000000000012763,-9.174847528307328,0.6366579406033771,0.6370068898982508
