train set,train set size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
gov,1,flores,21.564712498484297,-32.54585321712706,0.5,0.5,0.5,0.5,1.942272478928297,1.9431019746206393
gov,1,bible,5.414724719629424,-8.81472323205669,0.5,0.5,0.5,0.5,0.738120132671854,0.738168888070053
gov,1,gov,2.1933639742562083,32.51117474761461,0.5,0.5,0.5,0.5,3.5879328162972284,3.610799676219348
gov,10,flores,55.15754520752498,-83.10229405035824,0.5,0.5,0.5,0.5,2.0735352055923837,2.073710020025306
gov,10,bible,14.504117800139086,-23.91171362772306,0.5,0.5,0.5,0.5,0.9770505060905973,0.977575907096542
gov,10,gov,6.537792334377925,54.14272789900685,0.5,0.5,0.5,0.5,3.3027920597632785,3.440204280041877
gov,25,flores,61.92255132105278,-91.39957366754257,0.5,0.5,0.5,0.5,2.4567763559246316,2.4573082998549927
gov,25,bible,14.879714204212613,-23.749789633253958,0.5,0.5,0.5,0.5,1.181808873983251,1.182554821739872
gov,25,gov,7.248847503032654,60.10706481599101,0.5,0.5,0.5,0.5,3.9900198797810313,4.168108514043549
gov,50,flores,58.77084389554776,-83.75449063027334,0.5,0.5,0.5,0.5,1.1022713684545067,1.1632816725976647
gov,50,bible,12.749293534455184,-19.886151215027667,0.5,0.5,0.5,0.5,0.41456343450260674,0.43750171670280735
gov,50,gov,14.076174783458635,53.09893039164044,0.5,0.5,0.5,0.5,4.926722260619897,5.199315065725799
bible,1,flores,4.934078553635723,-7.057999474049274,0.5,0.5,0.5,0.5,0.5594016305744335,0.5668682749821261
bible,1,bible,8.566499677831024,16.037968983632936,0.5,0.5,0.5,0.5,2.7627389772848283,3.6242409942673985
bible,1,gov,4.377560294730819,-7.013380184389639,0.5,0.5,0.5,0.5,0.3466511170016122,0.3494739204581098
bible,10,flores,9.272193556617644,-12.969056635915036,0.5,0.5,0.5,0.5,0.8546202457319345,0.9009799378026004
bible,10,bible,11.202580772657408,30.787319009460056,0.5,0.5,0.5,0.5,3.280567199166532,4.5779541794446175
bible,10,gov,7.939922132977062,-12.425820469731233,0.5,0.5,0.5,0.5,0.6420772736821053,0.6502196857901108
bible,25,flores,8.207042369256929,-10.718428144470765,0.5,0.5,0.5,0.5,0.7721916831211824,0.772217057119252
bible,25,bible,14.920341018385592,32.30594578855008,0.5,0.5,0.5,0.5,3.5826984668607103,3.6500885603657927
bible,25,gov,7.418239343896334,-11.392179982681848,0.5,0.5,0.5,0.5,0.6985893446380912,0.698719232953325
