train set,train set size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
gov,1,flores,0.8198978192198403,-5.3689699910898735e-08,-6.205271118824389e-09,-3.455041399603064e-09,-2.099434697250466e-08,-2.616008771976711e-08,2.275634217531281,2.219911181864428
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,2.248627103352187,-3.65093610919721e-08,1.0604436345145917e-08,1.2436490332567907e-07,-1.0006316245567776e-07,-1.4980460932153037,3.3417146007875735,3.4123772159790624
gov,10,flores,2.268008257162972,-2.9953014812471966e-08,1.5037842406260544e-08,-4.77403840005482e-08,-5.832157219985195e-08,-6.658025941118003e-08,3.4762563688435266,3.376246925445909
gov,10,bible,0.30767371152702144,-2.9671202668268274e-09,1.2594929811576728e-09,2.0919855020060948e-08,1.403694445248102e-08,-3.5909879241801085e-09,1.3527875317834617,1.270641532790196
gov,10,gov,5.90050418449004,-4.4567789494090716e-07,7.948421590235426e-07,-9.157649331121711e-13,-1.4364413363553476e-06,-0.6085883799769759,3.92174117038412,3.8657522004629707
gov,25,flores,1.2049415561598005,3.6704928683589762e-09,-3.731726912638087e-09,-9.650278353149559e-09,8.890891946518031e-10,-2.064656464668632,2.707548659505141,2.8723500685715053
gov,25,bible,0.3995108048242577,-3.6537192431764588e-09,-2.124835309259564e-10,-3.4535745966481743e-09,-1.3278104531309424e-09,-7.317623409089729e-09,1.504809606905823,1.4329693636849778
gov,25,gov,6.573580209048722,-9.103234154802508e-09,1.2987202815934926e-08,-3.2982997627842156e-08,1.1417003473902707e-06,-0.5999252601104615,4.625927244015024,4.592118941056893
gov,50,flores,1.4594930113584028,-4.199268839109375e-09,-1.9505843978053279,-5.565729684068945e-09,-1.5936818829340625e-09,-3.2553099042751117e-09,1.4452720237790568,2.124170561318655
gov,50,bible,0.3326226433003393,-1.6936533268740309e-09,-5.024022863923872e-09,-2.4578474059347712e-09,-1.3317909405185983e-09,-6.357586010348877e-09,1.0078632321031535,0.8982899494396065
gov,50,gov,1.2362401766664701,-3.5598031370090886e-09,-7.025696164594694e-09,9.860022478234669e-09,-1.49857665717491e-09,-3.718636883916267,5.337362002022424,5.043086125919199
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,3.303975647750383,2.1217158668835213e-07,-4.539682873070297e-08,-6.629319376813664e-09,-2.1695884401231805e-07,-4.0099732678575826e-07,3.099632352411323,3.0784818678532893
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.35554975847736653,-4.89690676415159e-09,-2.8743403861933083e-09,-1.552247254322209e-08,-2.645631758462903e-09,-3.199978025084374e-09,0.9642905525219874,0.886870102969683
bible,10,bible,4.265977061195292,3.21419628073288e-08,-0.6411786425402516,0.034800619722571764,-7.188705503936752e-09,-0.49173079838333694,3.76105061954746,3.8897387571064352
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.4239977038849716,-1.5699415109659978e-09,-4.791931614429937e-09,-3.981969977987131e-09,-4.893735616306515e-09,-7.4476287583982356e-09,0.9857035427499757,0.9222427348275848
bible,25,bible,5.795192009599795,-0.00031064733131912816,-0.3906587861487797,0.00018966026022243455,-0.0013801974142665762,-8.2225401030845e-09,3.7428612623450364,3.786352966519006
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,0.859391630350078
