train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,-14.265998624434394,-4.5868367085892245,0.2672536907715652,0.4605579226511418,1.4484002036577224,1.4682806861253412
gov,1,bible,-9.146241060311988,-3.6946320915404613,0.2810675152704902,0.40187728279809565,0.2247546638968058,0.2275176996006903
gov,1,gov,15.763411610312753,-20.880783192924007,7.405845430914023,24.940944040018678,2.5912875208378767,2.6055466482660523
gov,10,flores,-22.963190814907556,-5.36235577455674,0.1374665950331585,0.6131181883725028,0.8203912495092893,0.8326644156346497
gov,10,bible,-12.108150465338978,-4.0440359271377435,0.22539030153080644,0.27458150214389965,0.4192821461504373,0.425219025573728
gov,10,gov,31.550078401926918,-32.879384694593554,10.325109412251903,45.79793609660014,0.5381442199717212,0.5381902693445076
gov,25,flores,-24.459439023566166,-5.554074915956881,0.15343070577938256,0.6622695125597444,0.871335677976214,0.8843045203581547
gov,25,bible,-12.194477134206341,-4.134471837703806,0.2796438269617302,0.2323353906175023,0.5024950389434302,0.509647759092013
gov,25,gov,34.895591548595995,-24.898778062583645,6.795045084203149,35.36390279199267,0.39617052439592765,0.39794303302803913
gov,50,flores,2.542762027331956,-2.1655759086258515,-0.5941945107354558,-0.9912927362902412,2.0511601988091347e-15,0.0
gov,50,bible,-0.7240158963521449,0.10140137727328649,-0.43439823947793427,-1.95078190681725,2.3305165376900174e-14,2.1552438292630354e-14
gov,50,gov,3.213772042939255,-6.677378726773667,0.19369074714601012,2.5512503190629463,9.173067274558417e-15,3.382860061901193e-14
bible,1,flores,-5.517668924240349,-3.0213195943108175,0.2685533353271501,0.2124885461811091,0.28703364755047805,0.10535069171783243
bible,1,bible,15.474734902228565,-29.103249394884564,8.099370959330335,45.21268304909486,1.8225167516344383,1.8324051304438151
bible,1,gov,-5.117028072038871,-2.703276858962221,0.1685461510997785,0.1951372942347497,0.19706633362335446,0.03549959083073531
bible,10,flores,-8.688860429376328,-3.827960965515445,0.24185123934644934,0.48613349552686846,0.21890454538135734,0.3932871562102017
bible,10,bible,25.516104647843438,-739.119413614768,296.7066500186813,999.9999976521865,1.2637956450213135,1.3782914687414902
bible,10,gov,-7.610014612008538,-3.4049178702741947,0.21627217369523377,0.28399502912595914,0.2796592974417784,0.048455000264205406
bible,25,flores,-8.239799506920903,-3.8038510781518085,0.2666004529915338,0.4159655966514264,0.18788586901150522,0.19023904932563387
bible,25,bible,29.630343490599934,-740.0692867132475,297.42738082935097,999.9999999999995,1.4735191160161343,1.4736191992296803
bible,25,gov,-9.006939679917437,-3.7227515415464265,0.2324890991622067,0.4258911683786192,0.2607946101349778,0.2640745758674439
