train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,2.0768094316773467,-0.0012270148982142972,-7.272068815409015e-09,3.3600458557025377,2.9604188080311173
gov,1,bible,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.676654379012387,-3.6253115772018724e-08,-2.149388731098268e-09,4.482685747890339,4.5763626551344485
gov,10,flores,9.048946399045635,-7.247649242168461e-06,-7.428195026226666e-09,4.429937870713469,3.6680583182265574
gov,10,bible,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.26184779984499,-9.95122797998248e-06,-9.57023450348867e-09,4.510779287972135,4.600646779332607
gov,25,flores,10.260908134559967,-6.298015529246426e-09,-1.9295494274839298,4.5738251953045586,4.095570653402686
gov,25,bible,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.083271125144734,-8.538630094816471e-08,-8.174220436321544e-09,5.108351470800005,5.169700805318654
gov,50,flores,7.014754015430237,-5.900598838285885e-09,-5.681224827384243,3.4721501452027232,2.828888251088997
gov,50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.49052549228801,-1.9885650320806677e-06,-1.8227199055928456e-08,6.04679840480699,6.9588681831600985
bible,1,flores,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.091815536352545,-9.095044155612746e-09,-0.13676630274764717,4.157449846434977,4.343944588190438
bible,1,gov,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,24.40667989985895,-1.721149248580729e-06,-2.030511798249699e-09,4.8225253721377905,4.656929586731027
bible,10,gov,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,28.994692618599874,-3.4184277417745196e-09,-0.004353566979618096,4.647609023556048,4.383794491254691
bible,25,gov,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
