train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.641394990114254,-5.934020193242836e-10,-0.00012402653928781146,-2.781863812748758e-05,0.0005766947721219378,4.309887631562199e-05,-7.423091662861153e-06,4.502000137554182,4.584743877611638
gov,10,flores,9.339409330344768,6.532417133742801e-08,-3.909426333422863e-08,-6.967588084216904e-09,1.4434168793445822e-07,4.169547231351373e-09,-5.936313569496957e-08,4.2529229127924175,3.6844546563840965
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.253005358743835,-1.9010554362348955e-07,9.97822915368949e-07,1.9702410645849252e-07,0.0016711070120556263,6.85079763718396e-07,5.535659506249619e-08,4.5152452561267875,4.607407679989595
gov,25,flores,11.771772649400503,9.202755685554982e-06,-3.797522849401611e-06,5.228174438289217e-06,-3.3447463390385856e-07,-5.8039054851115254e-08,-1.539746413241991e-06,4.630419637198782,4.069757591882961
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.04283358896828,-9.421815818739844e-08,1.1847505501302924e-07,-1.2534358701481932e-08,3.7113412802658165e-07,1.03700950159747e-06,1.0425374106398695e-07,5.128236670502753,5.12992431674884
gov,50,flores,11.71082270626382,-9.047601243469526e-06,-1.7004383226981556e-06,-6.969958311701057e-09,-4.271534570825459e-05,9.327873936588324e-07,7.234864376140879e-06,4.228801604225106,3.553656405208436
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.88574791004291,-0.00014151290844530596,0.0006151317486418277,2.906142586414338e-05,0.003497874386685858,3.994371371680941e-07,-2.3421033728979846e-09,5.870651079782406,5.383945614637552
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.472415457697345,4.061707839340284e-07,4.418353238295494e-06,-1.3154655759712983e-06,4.543308004069178e-06,5.531936591053463e-07,-2.28424849528123e-08,3.9809258323745906,3.7370068357605897
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.045542730392068,-8.276203901401224e-06,-1.1829846794033783e-05,-0.0007045447684756946,-3.691944081265472e-09,6.450016354553948e-05,0.0012184983281191106,4.419673416017999,3.7935397902316264
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.13429888400351,-1.2287424513973428e-09,-1.9400240489054818e-09,0.0008448182140717666,0.003878049436917377,0.00023279993309613097,-0.0017094256328482346,4.56728685187115,3.8990075493015484
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
