train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.099998078077559,-2.319527618476502e-09,3.3433530498645387,3.0618590827266647
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.640000376407592,-1.927076265187088e-09,4.502932169551023,4.485887509529982
gov,10,flores,9.33916259804502,-2.529000037095826e-09,4.25306803587615,3.6829114829255523
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.33038377164537,-9.723089572081484e-10,4.473190697918276,4.477054366529928
gov,25,flores,11.75762093732296,-8.068886827765824e-10,4.638102644185627,3.9992228810655353
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.141378792517536,-1.5070072184163035e-09,5.080204070515651,5.036432722581304
gov,50,flores,11.70002138936059,-8.228313293286131e-11,4.235157579186102,3.508600598904538
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.81963885479193,-1.9077512157997016e-09,5.899227251075082,5.598152997888744
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.521804753102579,1.6929028050862395e-07,3.949503639626879,3.8374595356200154
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.140252492813914,-1.517437284946851e-09,4.364760887399425,4.211497686082416
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.33050692321046,-9.476664427479781e-10,4.4583446045480635,4.405707193928899
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
