train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,flores,491.3938966213942,-999.9951309877173,109.95213574487188,999.7536200791319,-667.9673034852639,999.9443296719068,-478.6752542136826,1.6761749505025252,14.739163964476877
gov,1,bible,437.35675757886713,-999.9905681035762,209.1435903923026,999.9901718879211,-602.9202798896345,999.9997733573042,-532.088979917715,0.4558599915688592,4.531140039744191
gov,1,gov,502.9618836958811,-999.9914987202363,235.64288365402075,998.707011961858,-732.6529833157961,999.8703237711203,-423.88567977374737,3.238834990975215,21.3738551390276
gov,10,flores,500.56447947711393,-999.9890429404194,-91.11923055657037,998.9630869736142,-576.1042400245561,999.9333508349185,-532.07822249304,1.1973825713640456,10.723546738950501
gov,10,bible,453.8394031748201,-999.9922049173193,168.80335339632668,998.4634853663249,-615.6675646820885,999.9541085390058,-522.6654275878681,0.654585175123526,6.192133825318779
gov,10,gov,551.5590232305299,-999.9999833302006,254.99551289696302,998.7137690331703,-783.5725380360174,871.0944067573893,-246.73727210029384,0.6449867492751512,6.09180963821332
gov,25,flores,497.30813210098404,-998.6134467985105,-148.38956998185853,998.2183675747967,-538.9719347691789,999.9118341970928,-552.8898366292839,1.3979201219604174,12.126221379694712
gov,25,bible,448.8050972086811,-999.9870354526278,162.29746339095965,998.9176160881201,-600.6182708983397,999.8842425239146,-532.6933130240797,0.8383317136556556,7.720320995662748
gov,25,gov,593.6810035723084,-999.9999304445458,217.10277532872738,998.6262531719259,-901.0313932188645,999.6231532884595,-276.19721269076535,0.5092442891711778,5.002702286321129
gov,50,flores,87.25313234887022,-54.89910265207664,-151.52180507786835,-60.96062612219021,-10.330953640834789,6.401488471247388,4.074782711269001,4.329296665251735e-09,2.3659518347596387
gov,50,bible,17.53072600375087,-12.076210606043633,-17.80026289882978,-16.484016013907198,-4.093078137738516,-3.7532501726143734,4.121875527797145,1.9540797744926408e-11,0.4608005232571161
gov,50,gov,76.66227862139284,-62.91988341009301,-69.66452221277389,-94.36625794259214,5.9340766897180455,-16.862970298562693,82.09337442036924,1.5831527318637163e-09,2.218915746059489
bible,1,flores,451.38223333289227,-999.9956402524147,243.60025952629837,999.0599515348622,-648.2971904326523,999.9556271580874,-503.61304293239704,0.3804810091498712,3.892885380333742
bible,1,bible,614.440937198161,-998.9041225300114,293.2586918088806,999.9990499752104,-999.6531854407725,972.4044992800084,-217.5682432233116,1.4085315252099062,12.647586773488497
bible,1,gov,454.6384484924483,-999.2363438440145,250.4077759879694,998.5269338215924,-660.066297810653,999.9995442184243,-496.3467212409452,0.20125047016364517,2.394292711619833
bible,10,flores,441.9119222605239,-997.9778149385933,197.7335357189571,998.8846079924866,-606.489538519039,999.9404525233325,-528.4275519252429,0.44522334062241176,4.395713376418175
bible,10,bible,635.2091162052532,-999.9999732127873,324.71388205721786,999.9934628095086,-999.9984269523309,853.2958372488379,-97.33494702445935,0.36546989688103176,3.7826539976418148
bible,10,gov,452.8188188534733,-999.9956235648004,222.92095575911173,998.4915155435037,-641.1019576042372,999.881319585692,-507.36062817480274,0.39494955150668654,4.0111390954985975
bible,25,flores,424.1863221378494,-998.8005823700026,348.7280005346234,795.9497007666232,-588.602244333587,988.6941835316137,-530.8647254998549,0.4444927276502649,4.397571888472348
bible,25,bible,638.0850782918453,-999.9999933896576,367.9203934277031,999.9987478361488,-999.9997987596262,805.7334841125921,-56.08086574406792,0.25922186959236393,2.8840593452599164
bible,25,gov,442.2050398684886,-992.8985147191266,196.7280642874194,999.9929908720139,-610.722964046291,992.0546419832795,-518.7713377771697,0.43614874648638247,4.33353835781657
