train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,0.262948257164612,4.362102967253278,-14.973748853529182,1.7036384756876304,1.797424951316352
gov,1,bible,0.0002953064877558027,13.864485363884594,-43.51545350178929,0.14919398608499337,0.15129887239265377
gov,1,gov,31.975221074270404,0.39527091799532926,0.49542432108022666,3.0284832204895022,3.0535379556531215
gov,10,flores,6.1944683189029535,0.4606361272936264,-2.578571679665262,2.6637021526895546,2.7932684323243193
gov,10,bible,0.0430389257754627,6.040734173801971,-20.3916312221484,0.646537379583487,0.6958329801114059
gov,10,gov,49.1523460956512,-0.11095371663669899,1.1360873070878499,1.5417480196861841,1.5479655288793048
gov,25,flores,8.148971477274529,0.4529234247984063,-2.349607100630909,3.064658410038978,3.2150256694723502
gov,25,bible,0.10823288199693962,5.211134199154134,-17.25163553008135,0.7167371226018043,0.768252109939526
gov,25,gov,55.34979082244033,-0.1433112117822335,1.2440327927849586,1.6344674302188733,1.6477308051601411
gov,50,flores,5.398830448889546,-0.6028435995320325,-1.163169000799295,2.0511601988091347e-15,2.2932668186396043e-15
gov,50,bible,0.48618641850648886,-0.5502468861900176,-2.571185785447299,1.8129866073473578e-16,5.438959822042073e-16
gov,50,gov,54.25331674433461,-0.2411748643588118,1.2295287377894832,1.2306961192854808e-14,4.1023203976182695e-15
bible,1,flores,0.08554887429563322,4.705816643812492,-14.988913499564447,0.3187785802584329,0.4187249491742108
bible,1,bible,22.702879115999473,-0.20706026386845836,1.1868330772151303,2.3363228119780817,2.3497106689495064
bible,1,gov,0.00581555938931186,7.069285554872206,-24.121347602186237,0.1778720554232367,0.2719587930948227
bible,10,flores,1.6619149866365572,1.7152383611625361,-4.3257424538643425,0.6080553640584287,0.7523024525977572
bible,10,bible,33.58075366857272,-0.33052964392730855,1.2194445056087113,1.9474570541388472,1.9495004610711273
bible,10,gov,0.05346810429236646,5.3585787805493155,-17.611506877896744,0.37458104856361835,0.5324927474858888
bible,25,flores,2.0170870929251237,1.224701263230991,-3.154227882814071,0.5925032827831431,0.6216109818264851
bible,25,bible,37.89058383131714,-0.2954954272941546,1.0902438296774848,2.2319079634547734,2.2352014388855848
bible,25,gov,0.09074700935646911,5.255398844846704,-16.449936282601556,0.4994540520681812,0.5448011790571126
