train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.8435303311340436,3.916145698889585,2.184371647356082,2.2422617585206983
gov,1,bible,-0.6772532276770509,3.3382083913497227,0.7182399148060791,0.7426260114967894
gov,1,gov,10.035732792078637,20.29846432874829,3.1338896398886207,3.157461014850768
gov,10,flores,13.39909497785117,-3.4760879734509946,3.4221454522483676,3.534878940794594
gov,10,bible,1.3338086192496104,1.5744925103682978,1.2462339912805434,1.2801772691031832
gov,10,gov,31.825455437551412,6.542728422852918,3.6972301125203546,3.700390942514699
gov,25,flores,15.413021562053794,-2.526133867110934,3.8838733552744844,4.015486248853528
gov,25,bible,1.1525881070532384,3.004128892786018,1.385602182595035,1.4220391682185876
gov,25,gov,35.832860811438415,6.124897860879169,4.413471459963661,4.419391933058977
gov,50,flores,27.172389927697356,-29.391412871453873,2.000496902547389,2.049498685685994
gov,50,bible,5.037622591439112,-6.504695849495759,0.6211534516569188,0.6363684905129443
gov,50,gov,39.89469107302505,5.525207060442125,5.311370083440725,5.441471077746088
bible,1,flores,-0.13239048859188593,2.9859292610362878,0.5149519398502471,0.5789444102533488
bible,1,bible,17.7340403913902,-1.7800456544449996,2.7994098206808413,2.8031999450304523
bible,1,gov,0.08733460055369967,1.3787188833201849,0.38154373489323423,0.42960315320239345
bible,10,flores,0.31531772397921903,4.733786382139671,0.8062370158278348,0.9415499940382792
bible,10,bible,31.64717575454378,-9.491357914414248,3.2695224750228893,3.277240867095211
bible,10,gov,0.10727063402056276,2.9368534826865234,0.6812224324220304,0.7763180115156523
bible,25,flores,1.177504664083903,3.2161226610097158,0.7848791447623478,0.8115204698977954
bible,25,bible,35.06503502332498,-7.36875731264139,3.6633633586291907,3.6649457992791574
bible,25,gov,0.39212089665829625,2.425486273494591,0.754691025172577,0.7805003507285853
