train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,5.971309111010379,1.658238020476753,2.1887244416438465,2.243531405530522
gov,1,bible,2.0159965624472385,1.4462435611953028,0.7245831442255375,0.7471116045262974
gov,1,gov,26.95589285888404,9.451268571394474,3.0919494401831873,3.1163088586337118
gov,10,flores,10.275743808812795,-1.8915568113317212,3.414015767883996,3.520363930662617
gov,10,bible,2.5198351810730184,0.5802345615792304,1.249626616303442,1.2810020374190079
gov,10,gov,37.83322170889081,3.7162540875897054,3.6627700901132294,3.667662458805261
gov,25,flores,13.042118425716545,-1.4968924601181879,3.877830255598237,4.0019628025938365
gov,25,bible,3.501500754369561,1.2110519904634585,1.392360895342101,1.4258482274926898
gov,25,gov,41.632209700921244,3.6908455809795906,4.37955414110411,4.388056167952088
gov,50,flores,2.55509645058921,-13.862749130265394,1.8218088434254858,1.8810996664552975
gov,50,bible,-0.4557663118128785,-3.12189193617447,0.5812528018652598,0.6001696905959731
gov,50,gov,45.774569979216814,4.096641944097071,5.267967635160567,5.439414037454581
bible,1,flores,2.298708764320646,1.3177135685305625,0.5195339466986926,0.5801877997611452
bible,1,bible,16.552729776946542,-0.4433953906403989,2.803555961586777,2.8088309197906502
bible,1,gov,1.2004330339571765,0.5963939017291684,0.3838357044273894,0.42957032745789686
bible,10,flores,4.167845382228776,2.0869484972101997,0.8138689437290699,0.9425850728777381
bible,10,bible,24.260971529692622,-3.7525578679640894,3.30380178487537,3.3086068938957243
bible,10,gov,2.482828753121261,1.276157900276167,0.6864926291379613,0.7767834096965957
bible,25,flores,3.761778192807426,1.3806806900385302,0.7913833733539418,0.8159807674240652
bible,25,bible,29.56121477355916,-2.658852931414302,3.6906545956534798,3.6912888956863403
bible,25,gov,2.3353202071268826,1.0342850315441736,0.759021490897647,0.7830701255336783
