train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,1.45402855298803,-0.9565699026318789,2.756601564988226,2.671694117933567
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,9.314119141594459,-0.7138199666095845,6.0864562827460675,6.619820680209409
gov,10,flores,3.250618090140756,-1.3481376249086496,4.438599467212008,4.2447772782506545
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,19.178195061289067,-0.6275332803713913,6.897155500613681,7.940702767540656
gov,25,flores,4.331291597950723,-1.2494484483572936,5.120973584562145,4.867439618526826
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,22.198718748385957,-0.5853773836620906,7.4622089609754205,8.415298492521654
gov,50,flores,2.476071949556694,-1.8985707313576623,2.42493742475521,3.620073841328193
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,23.98780752886297,-0.6024976702254743,8.258993730402281,11.223095635557595
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,6.301089425043494,-1.033291108857195,4.999998919037289,5.464926947048009
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,12.36413492390692,-0.8587036499078645,6.011295330133748,6.923887882136296
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,15.099471919526014,-0.7979212053139599,6.3364908643997655,7.501120244430867
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
