model,mean,min,25%,50%,75%,max
linear,13.658567047276646,8.005455003490484,12.172929605379537,14.376901082866667,15.862538524763778,17.87501101988277
poly2,13.658578881553291,8.005474106685181,12.172947969060422,14.376913129548088,15.862544042040957,17.875015160431808
poly3,13.658561947885357,8.005449228659888,12.17291786653734,14.376893312117595,15.862537393465612,17.875011938646352
exp,13.658562693161754,8.005451967645952,12.172922326969093,14.376891606284047,15.862531972476708,17.875015592432966
log,13.658577833147364,8.005458995164826,12.172946208292945,14.376919256733702,15.86255088158812,17.875013823957225
power,13.603762579354374,8.008520263989766,12.154543465552985,14.350421810346463,15.799640924147852,17.705686432734808
mult,13.65857853999904,8.005455327156595,12.172923153176225,14.37691659846305,15.862571985285864,17.875025635913467
hmult,13.65730038607462,8.005448857146474,12.169125452038772,14.374369180114655,15.862544114150502,17.87501432692269
am,13.605346046696232,8.12767226819096,12.204360677779986,14.375658248470575,15.77664361738682,17.542395421652813
gm,13.605059461342048,8.126872881821459,12.204251884149983,14.375686076705767,15.776493653897832,17.5419928101352
hm,13.60485805161506,8.127135773112604,12.204100554309623,14.37540906192876,15.776166559234197,17.54147830949012
