model,mean,min,25%,50%,75%,max
linear,13.213483818400368,8.012782701774285,10.60712912805479,14.636934150830005,15.377700300102973,17.87501101988277
poly2,13.213479301522737,8.012721568559607,10.607119979914476,14.637026462465746,15.377675979686522,17.875015160431808
poly3,13.213493564695883,8.012714780627173,10.607128029361018,14.637078269172054,15.377696952851778,17.875011938646352
exp,13.178425519951855,7.954347362495599,10.560487425440275,14.543486094180247,15.377577369836807,17.875015592432966
log,13.213490582510286,8.012736347594522,10.607142577054589,14.637006074802784,15.377696338554138,17.875013823957225
power,12.945825032498105,7.8556620777006945,10.396743353704501,14.269982900805198,14.997978554418513,17.705686432734808
mult,13.213492747692978,8.012669989308284,10.60720328107205,14.63701744131656,15.37766480258422,17.875025635913467
hmult,13.21088641667214,7.988891843316965,10.608748724820291,14.639440146051228,15.377680575386757,17.87501432692269
am,12.909659434952454,7.885323145540873,10.432191409935983,14.187515865638924,14.943999395981294,17.542395421652813
gm,12.90704650138038,7.883100022935435,10.429185413922355,14.183514970771228,14.941173438988045,17.5419928101352
hm,12.907298135594301,7.883377849704528,10.430864236149535,14.181315256512764,14.941593530576808,17.54147830949012
