model,mean,min,25%,50%,75%,max
linear,13.20969451139927,11.996017264325108,12.602855887862189,13.20969451139927,13.81653313493635,14.423371758473431
poly2,13.209710199796966,11.996015528437043,12.602862864117004,13.209710199796966,13.816557535476928,14.423404871156889
poly3,13.20971773437892,11.996031285053398,12.602874509716159,13.20971773437892,13.816560959041682,14.423404183704443
exp,13.20970956915772,11.996012392478514,12.602860980818116,13.20970956915772,13.816558157497322,14.423406745836925
log,13.209719653293732,11.99601507583225,12.602867364562991,13.209719653293732,13.81657194202447,14.423424230755211
power,13.202474191358665,11.993414250462491,12.597944220910577,13.202474191358665,13.807004161806752,14.411534132254838
mult,13.209707260765004,11.99601184072947,12.602859550747237,13.209707260765004,13.816554970782773,14.42340268080054
hmult,13.209686911673785,11.995968977728216,12.602827944701001,13.209686911673785,13.81654587864657,14.423404845619356
am,13.264517208759361,12.033923427905194,12.649220318332278,13.264517208759361,13.879814099186444,14.495110989613528
gm,13.2649704000825,12.033749351542223,12.649359875812362,13.2649704000825,13.880580924352637,14.496191448622776
hm,13.265681696152237,12.034092268430648,12.649886982291441,13.265681696152237,13.881476410013033,14.497271123873826
