model,pareto,rawlsian,gov,bible
linear,False,False,14.423371758473431,11.996017264325108
poly2,False,False,14.423404871156889,11.996015528437043
poly3,False,False,14.423404183704443,11.996031285053398
exp,False,False,14.423406745836925,11.996012392478514
log,False,False,14.423424230755211,11.99601507583225
power,True,True,14.411534132254838,11.993414250462491
mult,False,False,14.42340268080054,11.99601184072947
hmult,False,False,14.423404845619356,11.995968977728216
am,False,False,14.495110989613528,12.033923427905194
gm,False,False,14.496191448622776,12.033749351542223
hm,False,False,14.497271123873826,12.034092268430648
