train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.01695210435963,3.01695210435963
1,bible,-3.4929803638181675e-10,-3.2678847712920156,9.035565511202204,9.167114144330275
1,gov,5.88986905336017e-06,-3.398911131865684,10.481833481935054,10.214695580293535
10,flores,-8.090064859785798e-10,-2.9728028905117423,5.615757057895453,5.59157019309936
10,bible,2.1961490935849755,-3.864109622823783,13.941184289694828,14.332321593660417
10,gov,6.812726915045491,-3.617466296269578,17.591745947020673,17.081484344568555
25,flores,-9.338213894768353e-10,-3.4427251393385276,6.785258288776997,6.8037141171826345
25,bible,4.547091134242349,-3.8543182947551267,15.663179263783404,16.495408357608895
25,gov,9.258241540586749,-3.531917064698079,19.393189627262238,18.827630040011574
50,flores,4.489046966117757e-11,-4.3266167968236875,2.3116262081433887,2.3548053584986817
50,bible,0.0,0.0,1.457166199626293,1.457166199626293
50,gov,39.873280755108226,4.080251128096072e-09,5.532989766610874,5.611523430723632
