train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.0997332686045027,-1.2325154166134525e-09,3.3435510660963823,3.0642617361048425
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.644059780631846,-1.1958775701446587e-09,4.500679680039153,4.494550252256242
gov,10,flores,9.34038258545193,9.486688208427458e-08,4.252350757342039,3.693312470789127
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.338569269197215,-1.3525922977644566e-09,4.468750025241028,4.471255936688943
gov,25,flores,11.759408645449847,-9.263519078968765e-10,4.637130662290022,4.00240377953039
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.152307669037654,-6.119211891228993e-10,5.074967000450088,5.030021687570456
gov,50,flores,11.671831159101199,-1.391114299526115e-09,4.251858929726973,3.576200926206086
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.83368107836186,-2.3695663900416655e-09,5.893257471518525,5.59646221185055
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.733626069990887,-1.6810172210681138e-09,3.819045136201077,3.8501932266779684
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.23654525088744,-9.97160300148633e-10,4.31033580290942,4.213040573533793
bible,10,gov,-1.7582768022194668e-17,-2.5963886765048654e-17,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.259086484673063,2.006105791151431e-07,4.497662484468335,4.408813421261734
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
