train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.420041982576466,-1.6464758813076937e-09,8.766606532070147,9.034696308271105
1,gov,7.390132785001216,-1.9207609102886286e-08,9.944759227030913,9.731485241739367
10,flores,4.560049858273535,-1.7793804934350226e-09,5.945935646332966,5.717457036760902
10,bible,12.339692819965496,1.4329949707014514e-08,13.314726283364678,13.629970025438242
10,gov,15.524720566401037,-7.942127958650593e-08,17.130514440806753,16.956075784344467
25,flores,5.949967926267391,-5.922474660899256e-09,6.9407968106710225,6.716000446763173
25,bible,14.62962464019514,-3.011296432096396e-09,15.109003174881702,15.450628212979435
25,gov,17.53332154650542,-3.4368854638666787e-09,18.98898373527761,18.82771206311582
50,flores,11.699942114814199,-1.7682850569291917e-09,4.23520437463945,3.5582649701166424
50,bible,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83340098192391,-2.8276164425633993e-09,5.893376280414149,6.53280974797998
