train set size,test set,c0,c1,rmse,kfold rmse
1,flores,12.550191507807659,-25.50049851999923,2.1452272607819247,2.2285352670433825
1,bible,10.724558776782834,-4.748846674573538,8.400446416836251,8.572040631246505
1,gov,19.437571265495816,-25.125176638149767,9.57281959508624,9.857045290266397
10,flores,21.974952208620564,-39.24987422553079,5.161346723484609,5.338450838459474
10,bible,13.225012824443082,4.249962106323492,13.076754184429896,13.332764470422557
10,gov,19.312471955684302,-3.3749192350648425,16.94579225058591,17.345508405383832
25,flores,25.549967930978433,-44.99991592940879,6.219686487276615,6.438575344047337
25,bible,14.850118908974643,5.999717572312493,14.898741557603511,15.187333441124716
25,gov,21.786808830267773,-4.623178343842266,18.823227008281833,19.262140619273456
50,flores,12.24137622361172,4.896551748740663,3.418576701885762,3.8128065674125438
50,bible,1.8678161201924155,0.7471264407206224,0.8730533902472534,0.9737596415659224
50,gov,36.49424210588842,14.597727628991384,5.336873824836244,5.951490476087021
