train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,0.0,0.0,5.107641334314694,3.0139438310584197
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,4.947170951557383,3.3730473018471074,5.263536856863329,5.143658157156897
gov,10,flores,3.876669078567136,2.6318457876158954,4.3974185664247845,4.357168071414158
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,7.348235682794215,3.968969400619044,5.9178983703874115,5.6861295008744905
gov,25,flores,4.477077072796754,2.7887471718693706,5.103133663014192,5.082118598381604
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,8.377503217433441,3.904206423583976,6.671965627668678,6.428396087972444
gov,50,flores,2.5000015773743494,4.261013656523063,3.4486838478577684,3.5732397459549907
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,3.8198189844177546,6.0,5.341690571408024,5.364110715580777
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,3.5787054086787142,3.9439869874659563,3.6747900994977414,3.615335430852445
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,4.903697292384491,4.42691858700836,4.439001667773802,4.346108542889875
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,5.578392599461004,4.459784785312749,4.703385335496227,4.5751214456167
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
