train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,0.8320893645789766,-1.656078995325916,1.714262813424512,1.638094524244566
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,3.4576342888424816,-1.6819595935868612,4.152360265238911,4.283571388489377
gov,10,flores,1.5027145131542274,-2.0406364842663143,2.6448032384420506,2.5641451208688695
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,10.581689693442238,-1.164332760684735,6.575353628326878,6.508059496528498
gov,25,flores,1.8080129177991338,-2.0463965981942134,2.9248310216731586,2.8114223862870396
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,12.359258894861318,-1.1159656139777143,7.286055572801671,7.160283793177866
gov,50,flores,1.0913584200498514,-2.785149550190258,3.4241213642400767,3.648138592354164
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,1.0913536524232827,-3.9906872589352917,5.337264319386877,5.383011105927172
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,3.9421889919212556,-1.41138551066435,4.602940028888979,4.536259295632835
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,8.432008642785114,-1.1502000521318099,6.295480186414581,6.127534525572177
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,10.479068638264033,-1.0757804056244946,6.822803688730133,6.65283339047807
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
