train set size,test set,c0,c1,rmse,kfold rmse
1,flores,26444.670445615393,-18.94941910346701,2.264690728091483,2.2902121172107206
1,bible,1.7125147100084372,3.4102664294318075,8.392083452276955,8.495750535855525
1,gov,1.8330875874862553,3.4829514494484584,9.61355542635715,9.725401996583251
10,flores,35925.70935154446,-17.70429323180425,5.123057413987468,5.183050944600548
10,bible,4.191976665473683,2.612688975278322,13.06685257957607,13.230837486918011
10,gov,2.003811886281905,4.5389196811295625,16.907697440976964,17.10603888658811
25,flores,19800.440907911405,-16.093959945139446,6.201436906319728,6.275928832881799
25,bible,4.857458181159523,2.604757085894639,14.887896190224472,15.078858886242898
25,gov,2.002053622700433,4.757871437281036,18.77675868574475,18.997774240522848
50,flores,21371.87549295554,-14.997213018325683,0.24234098239354218,1.0227060091081717
50,bible,346949.3769866642,-24.624563593668416,0.07670573745351285,0.4794185210991375
50,gov,2.2531659004787734,5.982739643546422,3.816622130506092,11.50971745453908
