train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,54480.686577111876,-19.465137577331177,1.880913505693905,1.9784344637809597
gov,1,bible,142553.26807041382,-24.973350795608976,0.6990015427305357,0.7249301413910653
gov,1,gov,2.1712537004806807,4.496542687926557,3.5489297273714944,3.7337340323921304
gov,10,flores,93061.46924608112,-18.61068644618824,1.8090453830872968,1.9175143826760415
gov,10,bible,1059816.757005422,-27.29569576404525,0.8735447427721739,0.9112335161479825
gov,10,gov,2.3088561505588228,5.601155707279744,2.5845879544000514,2.836979578005764
gov,25,flores,52082.9259790646,-17.01234715243729,2.1485456615055227,2.281513496979446
gov,25,bible,526355.9457793586,-25.429471066641277,1.048838105305451,1.0948082772134227
gov,25,gov,2.3033653638835534,5.821203054941204,3.1542167440079174,3.4187111654393183
gov,50,flores,21371.87549295554,-14.997213018325683,0.24234098239354218,1.0227060091081717
gov,50,bible,346949.3769866642,-24.624563593668416,0.07670573745351285,0.4794185210991375
gov,50,gov,2.2531659004787734,5.982739643546422,3.816622130506092,11.50971745453908
bible,1,flores,4580.521316625232,-17.25226095806666,0.4866789374296984,0.5101902432945188
bible,1,bible,1.2640827649960191,5.370600965100076,2.7857328208142147,2.9863793919692734
bible,1,gov,602690.1714349865,-28.583955115869166,0.2987749121071305,0.31614345426370427
bible,10,flores,2786.5106900970686,-14.738150166884765,0.6846312713272793,0.7205055418387504
bible,10,bible,2.150867088378426,5.27439782838426,2.9499439367313642,3.198785233521444
bible,10,gov,137418.8999146859,-24.014473623726985,0.5276699623420367,0.5513339989651819
bible,25,flores,1720.6624960803638,-13.447532701179298,0.7007057008806895,0.7391300687803618
bible,25,bible,2.755731697498793,5.049736782507388,3.0036894318365857,3.2498569756728224
bible,25,gov,83531.29403885688,-22.708348465138194,0.6446839888590419,0.6760088486736591
