train set size,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,ka,0.0,0.0,0.0,0.0,7.077664398184852,7.077664398184852
1,gu,6.1837042277405105,-0.00048149771331092254,6.387444567351416e-05,-5.2851247529096946e-09,8.483998376369195,8.16360909342443
1,hi,5.566088034296939,1.1972584201392682e-07,7.23986589825935e-09,-2.821473696157856e-08,8.45528133545247,8.149677061876307
1,si,5.582940642330783,-1.4339022306253073e-07,3.890873430492933e-08,6.451238932880268e-08,9.984989689007786,9.714674901381914
1,ta,4.165918052889998,-6.288333413669749e-08,-9.230910898655601e-09,-9.948291361756481e-05,8.487396536218547,8.20289018575218
10,ka,9.23015682058926,-2.4027198270540986e-06,-7.918457121594452e-09,-6.228721164111702e-05,12.053604172865283,11.779616891480638
10,gu,11.833028235486626,-6.674068021250212e-09,-5.486407004129817e-08,-2.168475229083077e-07,12.323706726107678,12.067933259952799
10,hi,10.997822321149773,-6.709305782946331e-08,-0.15337599520382714,-8.24695024645104e-09,12.792473536983913,12.4849595275936
10,si,12.566292836396183,-6.902820838850654e-09,0.0006442852838847819,1.168730417250252e-05,16.93497146093841,16.516145281146496
10,ta,9.405144184144845,-5.545496156944596e-05,-0.0006615873884375876,8.892149772326957e-08,13.946443343182679,13.442217403458338
25,ka,10.912030742649444,-4.992463639867615e-09,-0.06658287984864773,-0.04941229067489599,13.6082337249493,13.350593742493325
25,gu,13.884250367697003,-0.0052186579536872045,-5.947425697996641e-09,-0.012164859714886157,13.683070690226058,13.458537539852195
25,hi,12.980902589793917,-7.448559633108482e-09,-3.0032842707012417e-06,-2.715252132811889e-07,14.230491019704942,13.957686874616748
25,si,15.666407176924597,-2.8981300589857604,-6.468591065848539e-09,-0.0017368483822287437,18.428028149749156,17.527739302455277
25,ta,11.382657681928684,-0.7778239438419954,-6.387908127241492e-09,0.0008095463416965561,15.318346310299138,15.001522001866647
50,hi,17.28727947998393,0.020574691509437894,-6.548997567907271e-09,-0.0013776055888886493,13.817841959775192,17.494698927537858
50,si,25.004482724923303,-18.02728260945457,-1.3458890563165937e-08,-0.011609080718575096,17.174513111239307,26.336371999639155
50,ta,15.413851308134594,-0.004865492804105083,-8.196242973994243e-09,-1.7229304122079795e-05,16.853606662797066,21.735866876645485
