train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,3.5423365111668104,-3.1426645692867952e-09,2.921617748250422,8.827609680442459,9.11440140771233
1,gov,7.755196400985046,-4.604068416283331e-09,0.01012854114421795,9.857342328226633,9.77351322281928
10,flores,4.5651125508867585,-1.0582959208853794e-09,0.000651941017907792,5.94355813946709,5.790375263417518
10,bible,6.889950387037411,5.92545691712282e-09,5.6810717465116225,13.364843551764494,13.691792138979554
10,gov,8.785547193834486,7.361019804431281e-09,7.244629551117721,17.145632344083058,16.982636152530226
25,flores,5.942412418121878,3.812842675721633e-05,2.124229284827214e-09,6.943514255624256,6.775221168881618
25,bible,14.604337987278491,-2.0740651312802705e-09,0.0016064453729834095,15.112962532721408,15.509321265219524
25,gov,9.922317345188405,9.110740753542175e-09,8.122935842750891,19.014819448416432,18.86302340619
50,flores,6.584727686452442,-2.726671226877994e-10,5.327610866806663,4.445708632449025,3.728502494312948
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,23.09818479953087,-1.186449563153394e-09,17.85521989406979,6.1336945328662775,6.096410631411224
