train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,2.5855802805669397
1,bible,3.5888652233583644,-0.25419198818075905,-7.3112551969705655e-09,8.491742887489155,8.637489672181793
1,gov,3.9924212027894486,-0.29088341252603794,-3.3451011837589885e-09,9.713476189752015,9.629212381186457
10,flores,2.904969704193163,-1.50334912180587e-08,-1.8472650892972315e-09,5.5377839804104285,5.429426192933698
10,bible,4.388286388361922,-1.314927397946288,-5.676885061022582e-09,13.209115217869979,13.426874790354757
10,gov,5.8029717564030525,-1.1189833921852113,-6.991243143309163e-09,17.102672272216104,17.016067885445494
25,flores,2.56464068482432,-1.147731873639516,1.658588018162765e-07,6.511739734110108,6.461358186068547
25,bible,5.279021615072678,-1.2415891272247321,-7.005548299920112e-09,15.027493749597818,15.244534910273874
25,gov,6.560656576940904,-1.0868717432331014,-7.442180971743944e-09,18.992016272987442,18.898500704299998
50,flores,1.9530017939922313,-3.0956039581335753,-1.7630751446130812e-09,0.5395104535191377,0.4280778714095018
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,17.812272992256432,-0.47320678252547005,-7.086768372339409e-09,6.198766229688035,8.70907177692771
