train set size,test set,c0,c1,rmse,kfold rmse
1,flores,11.401454490535878,-14.675532899851895,2.325839349135181,2.359883558603406
1,bible,6.929998555171337,3.419130590489747,8.401842780356237,8.554296835866541
1,gov,-0.11766283413690587,17.19470559376586,9.608809188881127,9.778943501582388
10,flores,29.033069754516266,-37.75311832830154,5.250073834974106,5.333059297629683
10,bible,14.21226491116903,1.0785476815305568,13.077811090034347,13.309400407377021
10,gov,3.4937063687003964,24.975624330199427,16.926419445467655,17.21756195905446
25,flores,31.902101848475887,-40.29432298775549,6.33789839781081,6.437322031897215
25,bible,15.470520144119236,2.8512394247863027,14.900379142796176,15.167067444298933
25,gov,2.907999513408995,29.41823779256381,18.799266804968937,19.119408398979996
50,flores,63.1698420518903,-83.36869109917448,0.7001605307625196,1.6169998290746515
50,bible,14.066313524441176,-20.258556786759776,0.317950382735931,0.7342975360184503
50,gov,3.7523951878996873,65.68210453324674,4.640328641961852,10.716704684823704
