train set size,test set,c0,c1,rmse,kfold rmse
1,flores,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.315471740642075,-1.0473387806171299e-09,8.796997638778361,9.091755342555093
1,gov,7.313208366255887,-4.133826952883624e-09,9.964374297219864,9.740394604970435
10,flores,4.559694848623145,-2.881652129049241e-10,5.946084917888175,5.778224666032071
10,bible,12.340012312297894,-3.7374833687601e-09,13.314666291293516,13.64450553460222
10,gov,15.383602290060395,8.065750045701304e-09,17.151720637194064,16.951778072876547
25,flores,5.809760478311264,-3.2932209716721083e-09,6.992522058654,6.714275381359818
25,bible,14.564390221435469,4.9831080920408305e-09,15.119935632216999,15.450629299612284
25,gov,17.67791903704692,-2.4711336624055563e-09,18.970513563489924,18.827650646065674
50,flores,11.937604910366622,-8.735916702554656e-12,4.099402176937866,3.5198873301737796
50,bible,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83293883372828,-2.4012005020718445e-10,5.893572335737169,5.609787652176531
